x,y,name,name_file,name_resolved,background_index,family,sector_size_native,sector_size_km,dust,body_rates,near_native,far_native,near_km,far_km,stardust_percent,stardust_target,neb_override,stars_override,automatic_body_sizes,present_body_slots,alpha_texture_statuses,alpha_texture_missing,alpha_texture_sha256,positive_rate_missing_slots
0,0,Kingdom End,Kingdom End,True,19,greenoutlands,14000000,28.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
1,0,Rolk's Drift,Rolk's Drift,True,19,greenoutlands,12500000,25.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
2,0,Queen's Space,Queen's Space,True,14,foggreenoutlands,22500000,45.0,16,"25,25,25,25,25,25,0,0",3000000,3500000,6.0,7.0,100,512,0,0,55000,"1,2,3,4,5,6",not_referenced,,,
3,0,Menelaus' Frontier,Menelaus' Frontier,True,19,greenoutlands,25000000,50.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
4,0,Ceo's Buckzoid,Ceo's Buckzoid,True,21,greenvoid,17500000,35.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
5,0,Teladi Gain,Teladi Gain,True,21,greenvoid,22500000,45.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
6,0,Family Whi,Family Whi,True,21,greenvoid,20000000,40.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
8,0,Kuiper Belt,Kuiper Belt,True,67,solarsystem,20000000,40.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
10,0,Uranus 2,Uranus 2,True,78,uranus2,30000000,60.0,0,"15,10,5,4,8,1,7,6",500000000,500000000,1000.0,1000.0,100,512,0,0,20508,"1,2,3,4,5,6",missing,dds/nebula_redfire_dust_part_01_alpha8,,"7,8"
11,0,Titan,Titan,True,67,solarsystem,20000000,40.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
13,0,The Vault,The Vault,True,22,midnightblue,17500000,35.0,0,"25,50,25,0,0,0,0,0",45000000,55000000,90.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
16,0,Unknown Sector,Unknown Sector,True,11,fogcyancorner,10000000,20.0,10,"25,25,25,25,25,25,0,0",15500000,19500000,31.0,39.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
17,0,Xenon Sector 534,Xenon Sector 534,True,0,bluedistance,27000000,54.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,75000,"1,2,3,4,5,6",not_referenced,,,7
19,0,Xenon Sector 596,Xenon Sector 596,True,26,reddawn,45000000,90.0,0,"25,50,10,5,5,0,5,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
0,1,Three Worlds,Three Worlds,True,31,standardblack,17500000,35.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
1,1,Power Circle,Power Circle,True,31,standardblack,17000000,34.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
2,1,Antigone Memorial,Antigone Memorial,True,31,standardblack,22500000,45.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
3,1,Rolk's Fate,Rolk's Fate,True,14,foggreenoutlands,18500000,37.0,16,"25,25,25,25,25,25,0,0",3000000,3500000,6.0,7.0,100,512,0,0,55000,"1,2,3,4,5,6",not_referenced,,,
4,1,Profit Share,Profit Share,True,31,standardblack,20000000,40.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
5,1,Seizewell,Seizewell,True,7,deepblue,17500000,35.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
6,1,Family Zein,Family Zein,True,31,standardblack,22500000,45.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
7,1,Oort Cloud,Oort Cloud,True,67,solarsystem,20000000,40.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
8,1,Pluto,Pluto,True,67,solarsystem,30000000,60.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
9,1,Neptune,Neptune,True,67,solarsystem,25000000,50.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
10,1,Uranus,Uranus,True,76,uranus,25000000,50.0,15,"15,10,5,4,8,1,7,6",500000000,500000000,1000.0,1000.0,100,512,0,0,20508,"1,2,3,4,5,6",missing,dds/nebula_redfire_dust_part_01_alpha8,,"7,8"
11,1,Saturn,Saturn,True,67,solarsystem,37500000,75.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
12,1,Mercury,Mercury,True,67,solarsystem,30000000,60.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
13,1,Shareholder's Fortune,Shareholder's Fortune,True,31,standardblack,27500000,55.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
14,1,Mines of Fortune,Mines of Fortune,True,26,reddawn,20000000,40.0,0,"25,50,10,5,5,0,5,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
15,1,Saturn 2,Saturn 2,True,67,solarsystem,20000000,40.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
16,1,Saturn 3,Saturn 3,True,67,solarsystem,20000000,40.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
17,1,Getsu Fune,Getsu Fune,True,10,fogbluedistance,31500000,63.0,8,"25,25,25,25,25,25,0,0",18500000,23500000,37.0,47.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
18,1,Menelaus' Paradise,Menelaus' Paradise,True,10,fogbluedistance,22500000,45.0,8,"25,25,25,25,25,25,0,0",18500000,23500000,37.0,47.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
19,1,Xenon Sector 597,Xenon Sector 597,True,3,brennanstriumph,50000000,100.0,0,"25,50,10,5,5,0,5,0",7500000,10000000,15.0,20.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
20,1,Guiding Star,Guiding Star,True,6,darkhorizon,27500000,55.0,0,"25,50,10,5,5,0,5,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
0,2,Cloudbase North West,Cloudbase North West,True,2,bluewell,16500000,33.0,8,"25,25,25,25,25,25,0,0",18000000,18500000,36.0,37.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
1,2,Herron's Nebula,Herron's Nebula,True,2,bluewell,25000000,50.0,8,"25,25,25,25,25,25,0,0",18000000,18500000,36.0,37.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,
2,2,The Hole,The Hole,True,14,foggreenoutlands,27500000,55.0,16,"25,25,25,25,25,25,0,0",3000000,3500000,6.0,7.0,100,512,0,0,55000,"1,2,3,4,5,6",not_referenced,,,
3,2,Atreus' Clouds,Atreus' Clouds,True,14,foggreenoutlands,25000000,50.0,16,"25,25,25,25,25,25,0,0",3000000,3500000,6.0,7.0,100,512,0,0,55000,"1,2,3,4,5,6",not_referenced,,,
4,2,Spaceweed Drift,Spaceweed Drift,True,7,deepblue,35000000,70.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
5,2,Greater Profit,Greater Profit,True,7,deepblue,14000000,28.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
6,2,Thuruk's Pride,Thuruk's Pride,True,31,standardblack,22500000,45.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
7,2,Family Pride,Family Pride,True,31,standardblack,12500000,25.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
8,2,Rhonkar's Might,Rhonkar's Might(Rhonkar's Might),True,5,cyancorner,30000000,60.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
9,2,Patriarch's Retreat,Patriarch's Retreat,True,31,standardblack,45000000,90.0,0,"25,50,10,5,5,0,5,0",50000000,55000000,100.0,110.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
10,2,Uranus 3,Uranus 3,True,79,uranus3,30000000,60.0,15,"15,10,5,4,8,1,7,6",500000000,500000000,1000.0,1000.0,100,512,0,0,20508,"1,2,3,4,5,6",missing,dds/nebula_redfire_dust_part_01_alpha8,,"7,8"
11,2,Jupiter,Jupiter,True,67,solarsystem,30000000,60.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
12,2,Venus,Venus,True,67,solarsystem,30000000,60.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
13,2,The Moon,The Moon,True,67,solarsystem,30000000,60.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
14,2,Home of Opportunity,Home of Opportunity,True,26,reddawn,15000000,30.0,0,"25,50,10,5,5,0,5,0",22500000,25000000,45.0,50.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
15,2,Jupiter 2,Jupiter 2,True,67,solarsystem,20000000,40.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
16,2,Jupiter 3,Jupiter 3,True,67,solarsystem,20000000,40.0,0,"25,50,10,5,5,0,5,0",500000000,500000000,1000.0,1000.0,100,512,0,0,,,,,,"1,2,3,4,5,7"
18,2,Bluish Snout,Bluish Snout,True,0,bluedistance,16000000,32.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,75000,"1,2,3,4,5,6",not_referenced,,,7
19,2,Spires of Elusion,Spires of Elusion,True,0,bluedistance,27500000,55.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,75000,"1,2,3,4,5,6",not_referenced,,,7
20,2,CEO's Wellspring,CEO's Wellspring,True,29,redreef,27500000,55.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
21,2,Cathedral of Xaar,Cathedral of Xaar,True,30,redsplit,30000000,60.0,0,"25,50,10,5,5,0,5,0",25000000,30000000,50.0,60.0,100,512,0,0,45000,"1,2,3,4,5,6",not_referenced,,,7
