case frames route_draw_us gate_us set_rt_us lazy_mask_writes routed route_draw_us_per_routed_draw
routed 11 41.68 16.28 16.90 0.00 3.00 13.89
routed-owner 11 40.94 16.35 17.22 0.00 3.00 13.65
routed-perdraw 11 49.62 17.68 15.75 0.00 3.00 16.54
routed-perdraw-owner 11 48.85 17.07 15.06 0.00 3.00 16.28
sentinel 11 42.68 17.07 17.98 0.00 3.00 14.23
sentinel-owner 11 42.75 16.81 17.66 0.00 3.00 14.25
hover 11 34.83 192.43 14.59 0.00 2.27 17.09
hover-owner 11 36.65 191.10 16.35 0.00 2.27 16.63
original 11 31.49 23.33 13.94 0.00 2.27 14.55
original-owner 11 32.62 24.60 13.66 0.00 2.27 15.62
behind 11 32.59 23.99 13.64 0.00 2.27 14.98
behind-owner 11 33.10 25.22 14.15 0.00 2.27 15.36
overlay 11 41.72 15.94 17.75 0.00 3.00 13.91
overlay-owner 11 43.33 17.93 17.27 0.00 3.00 14.44
foreign 11 15.87 23.41 7.08 0.00 1.00 15.87
foreign-owner 11 19.06 27.65 7.43 0.00 1.00 19.06
hull 11 14.78 21.81 6.63 0.00 1.00 14.78
hull-owner 11 42.46 17.95 17.73 0.00 3.00 14.15
