display          F       m00       px  t(no factor)  t(factor)  run131 class at t(factor) nodes/draws
1280 (run131)   0x4000  0.800000    2            3          3     97 /  403
1280 (run131)   0x4000  0.800000    4            6          6    128 /  458
1280 (run131)   0x4000  0.800000    8           11         11    139 /  479
1280 (run131)   0x3470  1.066658    2            2          3     97 /  403
1280 (run131)   0x3470  1.066658    4            4          5    116 /  446
1280 (run131)   0x3470  1.066658    8            8         10    131 /  471
5120x1440       0x4000  0.375000    2            2          2     74 /  297
5120x1440       0x4000  0.375000    4            3          3     97 /  403
5120x1440       0x4000  0.375000    8            6          6    128 /  458
5120x1440       0x3470  0.499996    2            2          2     74 /  297
5120x1440       0x3470  0.499996    4            3          3     97 /  403
5120x1440       0x3470  0.499996    8            5          5    116 /  446
