MODULE C:\windows\system32\d3d9.dll
BENCHMARK frequency=10000000 iterations=20000 trials=7 routes=4 draws=0 presents=0
SAMPLE route=get_render_state iteration=0 calls=20000 elapsed_ticks=7502 total_us=750.200000 ns_per_call=37.510000
SAMPLE route=get_render_state iteration=1 calls=20000 elapsed_ticks=7519 total_us=751.900000 ns_per_call=37.595000
SAMPLE route=get_render_state iteration=2 calls=20000 elapsed_ticks=8138 total_us=813.800000 ns_per_call=40.690000
SAMPLE route=get_render_state iteration=3 calls=20000 elapsed_ticks=8317 total_us=831.700000 ns_per_call=41.585000
SAMPLE route=get_render_state iteration=4 calls=20000 elapsed_ticks=8592 total_us=859.200000 ns_per_call=42.960000
SAMPLE route=get_render_state iteration=5 calls=20000 elapsed_ticks=8345 total_us=834.500000 ns_per_call=41.725000
SAMPLE route=get_render_state iteration=6 calls=20000 elapsed_ticks=7595 total_us=759.500000 ns_per_call=37.975000
SAMPLE route=set_render_state iteration=0 calls=20000 elapsed_ticks=8312 total_us=831.200000 ns_per_call=41.560000
SAMPLE route=set_render_state iteration=1 calls=20000 elapsed_ticks=8327 total_us=832.700000 ns_per_call=41.635000
SAMPLE route=set_render_state iteration=2 calls=20000 elapsed_ticks=8325 total_us=832.500000 ns_per_call=41.625000
SAMPLE route=set_render_state iteration=3 calls=20000 elapsed_ticks=8496 total_us=849.600000 ns_per_call=42.480000
SAMPLE route=set_render_state iteration=4 calls=20000 elapsed_ticks=8693 total_us=869.300000 ns_per_call=43.465000
SAMPLE route=set_render_state iteration=5 calls=20000 elapsed_ticks=8688 total_us=868.800000 ns_per_call=43.440000
SAMPLE route=set_render_state iteration=6 calls=20000 elapsed_ticks=8349 total_us=834.900000 ns_per_call=41.745000
SAMPLE route=invalid_set_rt iteration=0 calls=20000 elapsed_ticks=6457 total_us=645.700000 ns_per_call=32.285000
SAMPLE route=invalid_set_rt iteration=1 calls=20000 elapsed_ticks=6454 total_us=645.400000 ns_per_call=32.270000
SAMPLE route=invalid_set_rt iteration=2 calls=20000 elapsed_ticks=6418 total_us=641.800000 ns_per_call=32.090000
SAMPLE route=invalid_set_rt iteration=3 calls=20000 elapsed_ticks=6547 total_us=654.700000 ns_per_call=32.735000
SAMPLE route=invalid_set_rt iteration=4 calls=20000 elapsed_ticks=7182 total_us=718.200000 ns_per_call=35.910000
SAMPLE route=invalid_set_rt iteration=5 calls=20000 elapsed_ticks=6807 total_us=680.700000 ns_per_call=34.035000
SAMPLE route=invalid_set_rt iteration=6 calls=20000 elapsed_ticks=6808 total_us=680.800000 ns_per_call=34.040000
SAMPLE route=invalid_clear iteration=0 calls=20000 elapsed_ticks=74833 total_us=7483.300000 ns_per_call=374.165000
SAMPLE route=invalid_clear iteration=1 calls=20000 elapsed_ticks=66521 total_us=6652.100000 ns_per_call=332.605000
SAMPLE route=invalid_clear iteration=2 calls=20000 elapsed_ticks=61610 total_us=6161.000000 ns_per_call=308.050000
SAMPLE route=invalid_clear iteration=3 calls=20000 elapsed_ticks=63895 total_us=6389.500000 ns_per_call=319.475000
SAMPLE route=invalid_clear iteration=4 calls=20000 elapsed_ticks=63677 total_us=6367.700000 ns_per_call=318.385000
SAMPLE route=invalid_clear iteration=5 calls=20000 elapsed_ticks=61039 total_us=6103.900000 ns_per_call=305.195000
SAMPLE route=invalid_clear iteration=6 calls=20000 elapsed_ticks=62129 total_us=6212.900000 ns_per_call=310.645000
RESULT PASS checks=640115 samples=28 calls_per_sample=20000 draws=0 presents=0
