MODULE Y:\x3-mod\verification\probe\build\hook-admission-frozen-20260911-060702-692375\ownership_off\d3d9.dll
BENCHMARK frequency=10000000 iterations=20000 trials=7 routes=4 draws=0 presents=0
SAMPLE route=get_render_state iteration=0 calls=20000 elapsed_ticks=21455 total_us=2145.500000 ns_per_call=107.275000
SAMPLE route=get_render_state iteration=1 calls=20000 elapsed_ticks=18227 total_us=1822.700000 ns_per_call=91.135000
SAMPLE route=get_render_state iteration=2 calls=20000 elapsed_ticks=15262 total_us=1526.200000 ns_per_call=76.310000
SAMPLE route=get_render_state iteration=3 calls=20000 elapsed_ticks=15792 total_us=1579.200000 ns_per_call=78.960000
SAMPLE route=get_render_state iteration=4 calls=20000 elapsed_ticks=16380 total_us=1638.000000 ns_per_call=81.900000
SAMPLE route=get_render_state iteration=5 calls=20000 elapsed_ticks=18268 total_us=1826.800000 ns_per_call=91.340000
SAMPLE route=get_render_state iteration=6 calls=20000 elapsed_ticks=15819 total_us=1581.900000 ns_per_call=79.095000
SAMPLE route=set_render_state iteration=0 calls=20000 elapsed_ticks=16425 total_us=1642.500000 ns_per_call=82.125000
SAMPLE route=set_render_state iteration=1 calls=20000 elapsed_ticks=16359 total_us=1635.900000 ns_per_call=81.795000
SAMPLE route=set_render_state iteration=2 calls=20000 elapsed_ticks=16405 total_us=1640.500000 ns_per_call=82.025000
SAMPLE route=set_render_state iteration=3 calls=20000 elapsed_ticks=16437 total_us=1643.700000 ns_per_call=82.185000
SAMPLE route=set_render_state iteration=4 calls=20000 elapsed_ticks=18224 total_us=1822.400000 ns_per_call=91.120000
SAMPLE route=set_render_state iteration=5 calls=20000 elapsed_ticks=17968 total_us=1796.800000 ns_per_call=89.840000
SAMPLE route=set_render_state iteration=6 calls=20000 elapsed_ticks=16396 total_us=1639.600000 ns_per_call=81.980000
SAMPLE route=invalid_set_rt iteration=0 calls=20000 elapsed_ticks=46889 total_us=4688.900000 ns_per_call=234.445000
SAMPLE route=invalid_set_rt iteration=1 calls=20000 elapsed_ticks=46199 total_us=4619.900000 ns_per_call=230.995000
SAMPLE route=invalid_set_rt iteration=2 calls=20000 elapsed_ticks=46050 total_us=4605.000000 ns_per_call=230.250000
SAMPLE route=invalid_set_rt iteration=3 calls=20000 elapsed_ticks=46359 total_us=4635.900000 ns_per_call=231.795000
SAMPLE route=invalid_set_rt iteration=4 calls=20000 elapsed_ticks=45816 total_us=4581.600000 ns_per_call=229.080000
SAMPLE route=invalid_set_rt iteration=5 calls=20000 elapsed_ticks=46248 total_us=4624.800000 ns_per_call=231.240000
SAMPLE route=invalid_set_rt iteration=6 calls=20000 elapsed_ticks=48732 total_us=4873.200000 ns_per_call=243.660000
SAMPLE route=invalid_clear iteration=0 calls=20000 elapsed_ticks=106026 total_us=10602.600000 ns_per_call=530.130000
SAMPLE route=invalid_clear iteration=1 calls=20000 elapsed_ticks=103349 total_us=10334.900000 ns_per_call=516.745000
SAMPLE route=invalid_clear iteration=2 calls=20000 elapsed_ticks=103191 total_us=10319.100000 ns_per_call=515.955000
SAMPLE route=invalid_clear iteration=3 calls=20000 elapsed_ticks=103119 total_us=10311.900000 ns_per_call=515.595000
SAMPLE route=invalid_clear iteration=4 calls=20000 elapsed_ticks=102890 total_us=10289.000000 ns_per_call=514.450000
SAMPLE route=invalid_clear iteration=5 calls=20000 elapsed_ticks=103018 total_us=10301.800000 ns_per_call=515.090000
SAMPLE route=invalid_clear iteration=6 calls=20000 elapsed_ticks=103261 total_us=10326.100000 ns_per_call=516.305000
RESULT PASS checks=640115 samples=28 calls_per_sample=20000 draws=0 presents=0
