MODULE Y:\x3-mod\verification\probe\build\hook-admission-frozen-20260911-060702-692375\ownership_on\d3d9.dll
BENCHMARK frequency=10000000 iterations=20000 trials=7 routes=4 draws=0 presents=0
SAMPLE route=get_render_state iteration=0 calls=20000 elapsed_ticks=43477 total_us=4347.700000 ns_per_call=217.385000
SAMPLE route=get_render_state iteration=1 calls=20000 elapsed_ticks=43466 total_us=4346.600000 ns_per_call=217.330000
SAMPLE route=get_render_state iteration=2 calls=20000 elapsed_ticks=43902 total_us=4390.200000 ns_per_call=219.510000
SAMPLE route=get_render_state iteration=3 calls=20000 elapsed_ticks=43011 total_us=4301.100000 ns_per_call=215.055000
SAMPLE route=get_render_state iteration=4 calls=20000 elapsed_ticks=43087 total_us=4308.700000 ns_per_call=215.435000
SAMPLE route=get_render_state iteration=5 calls=20000 elapsed_ticks=43221 total_us=4322.100000 ns_per_call=216.105000
SAMPLE route=get_render_state iteration=6 calls=20000 elapsed_ticks=43131 total_us=4313.100000 ns_per_call=215.655000
SAMPLE route=set_render_state iteration=0 calls=20000 elapsed_ticks=44157 total_us=4415.700000 ns_per_call=220.785000
SAMPLE route=set_render_state iteration=1 calls=20000 elapsed_ticks=43828 total_us=4382.800000 ns_per_call=219.140000
SAMPLE route=set_render_state iteration=2 calls=20000 elapsed_ticks=43777 total_us=4377.700000 ns_per_call=218.885000
SAMPLE route=set_render_state iteration=3 calls=20000 elapsed_ticks=46697 total_us=4669.700000 ns_per_call=233.485000
SAMPLE route=set_render_state iteration=4 calls=20000 elapsed_ticks=43594 total_us=4359.400000 ns_per_call=217.970000
SAMPLE route=set_render_state iteration=5 calls=20000 elapsed_ticks=43648 total_us=4364.800000 ns_per_call=218.240000
SAMPLE route=set_render_state iteration=6 calls=20000 elapsed_ticks=44166 total_us=4416.600000 ns_per_call=220.830000
SAMPLE route=invalid_set_rt iteration=0 calls=20000 elapsed_ticks=109370 total_us=10937.000000 ns_per_call=546.850000
SAMPLE route=invalid_set_rt iteration=1 calls=20000 elapsed_ticks=104361 total_us=10436.100000 ns_per_call=521.805000
SAMPLE route=invalid_set_rt iteration=2 calls=20000 elapsed_ticks=106107 total_us=10610.700000 ns_per_call=530.535000
SAMPLE route=invalid_set_rt iteration=3 calls=20000 elapsed_ticks=104482 total_us=10448.200000 ns_per_call=522.410000
SAMPLE route=invalid_set_rt iteration=4 calls=20000 elapsed_ticks=109604 total_us=10960.400000 ns_per_call=548.020000
SAMPLE route=invalid_set_rt iteration=5 calls=20000 elapsed_ticks=118507 total_us=11850.700000 ns_per_call=592.535000
SAMPLE route=invalid_set_rt iteration=6 calls=20000 elapsed_ticks=120135 total_us=12013.500000 ns_per_call=600.675000
SAMPLE route=invalid_clear iteration=0 calls=20000 elapsed_ticks=164903 total_us=16490.300000 ns_per_call=824.515000
SAMPLE route=invalid_clear iteration=1 calls=20000 elapsed_ticks=160547 total_us=16054.700000 ns_per_call=802.735000
SAMPLE route=invalid_clear iteration=2 calls=20000 elapsed_ticks=160276 total_us=16027.600000 ns_per_call=801.380000
SAMPLE route=invalid_clear iteration=3 calls=20000 elapsed_ticks=160936 total_us=16093.600000 ns_per_call=804.680000
SAMPLE route=invalid_clear iteration=4 calls=20000 elapsed_ticks=159613 total_us=15961.300000 ns_per_call=798.065000
SAMPLE route=invalid_clear iteration=5 calls=20000 elapsed_ticks=159365 total_us=15936.500000 ns_per_call=796.825000
SAMPLE route=invalid_clear iteration=6 calls=20000 elapsed_ticks=160105 total_us=16010.500000 ns_per_call=800.525000
RESULT PASS checks=640115 samples=28 calls_per_sample=20000 draws=0 presents=0
