MODULE Y:\x3-mod\verification\probe\build\hook-admission-frozen-20260911-060702-692375\previous_ownership\d3d9.dll
BENCHMARK frequency=10000000 iterations=20000 trials=7 routes=4 draws=0 presents=0
SAMPLE route=get_render_state iteration=0 calls=20000 elapsed_ticks=15915 total_us=1591.500000 ns_per_call=79.575000
SAMPLE route=get_render_state iteration=1 calls=20000 elapsed_ticks=15257 total_us=1525.700000 ns_per_call=76.285000
SAMPLE route=get_render_state iteration=2 calls=20000 elapsed_ticks=15303 total_us=1530.300000 ns_per_call=76.515000
SAMPLE route=get_render_state iteration=3 calls=20000 elapsed_ticks=15392 total_us=1539.200000 ns_per_call=76.960000
SAMPLE route=get_render_state iteration=4 calls=20000 elapsed_ticks=16198 total_us=1619.800000 ns_per_call=80.990000
SAMPLE route=get_render_state iteration=5 calls=20000 elapsed_ticks=15152 total_us=1515.200000 ns_per_call=75.760000
SAMPLE route=get_render_state iteration=6 calls=20000 elapsed_ticks=15169 total_us=1516.900000 ns_per_call=75.845000
SAMPLE route=set_render_state iteration=0 calls=20000 elapsed_ticks=16491 total_us=1649.100000 ns_per_call=82.455000
SAMPLE route=set_render_state iteration=1 calls=20000 elapsed_ticks=17257 total_us=1725.700000 ns_per_call=86.285000
SAMPLE route=set_render_state iteration=2 calls=20000 elapsed_ticks=16627 total_us=1662.700000 ns_per_call=83.135000
SAMPLE route=set_render_state iteration=3 calls=20000 elapsed_ticks=16720 total_us=1672.000000 ns_per_call=83.600000
SAMPLE route=set_render_state iteration=4 calls=20000 elapsed_ticks=16836 total_us=1683.600000 ns_per_call=84.180000
SAMPLE route=set_render_state iteration=5 calls=20000 elapsed_ticks=18710 total_us=1871.000000 ns_per_call=93.550000
SAMPLE route=set_render_state iteration=6 calls=20000 elapsed_ticks=16827 total_us=1682.700000 ns_per_call=84.135000
SAMPLE route=invalid_set_rt iteration=0 calls=20000 elapsed_ticks=37513 total_us=3751.300000 ns_per_call=187.565000
SAMPLE route=invalid_set_rt iteration=1 calls=20000 elapsed_ticks=36915 total_us=3691.500000 ns_per_call=184.575000
SAMPLE route=invalid_set_rt iteration=2 calls=20000 elapsed_ticks=37749 total_us=3774.900000 ns_per_call=188.745000
SAMPLE route=invalid_set_rt iteration=3 calls=20000 elapsed_ticks=37051 total_us=3705.100000 ns_per_call=185.255000
SAMPLE route=invalid_set_rt iteration=4 calls=20000 elapsed_ticks=37343 total_us=3734.300000 ns_per_call=186.715000
SAMPLE route=invalid_set_rt iteration=5 calls=20000 elapsed_ticks=37050 total_us=3705.000000 ns_per_call=185.250000
SAMPLE route=invalid_set_rt iteration=6 calls=20000 elapsed_ticks=37882 total_us=3788.200000 ns_per_call=189.410000
SAMPLE route=invalid_clear iteration=0 calls=20000 elapsed_ticks=104972 total_us=10497.200000 ns_per_call=524.860000
SAMPLE route=invalid_clear iteration=1 calls=20000 elapsed_ticks=102067 total_us=10206.700000 ns_per_call=510.335000
SAMPLE route=invalid_clear iteration=2 calls=20000 elapsed_ticks=102586 total_us=10258.600000 ns_per_call=512.930000
SAMPLE route=invalid_clear iteration=3 calls=20000 elapsed_ticks=100779 total_us=10077.900000 ns_per_call=503.895000
SAMPLE route=invalid_clear iteration=4 calls=20000 elapsed_ticks=102473 total_us=10247.300000 ns_per_call=512.365000
SAMPLE route=invalid_clear iteration=5 calls=20000 elapsed_ticks=103201 total_us=10320.100000 ns_per_call=516.005000
SAMPLE route=invalid_clear iteration=6 calls=20000 elapsed_ticks=100269 total_us=10026.900000 ns_per_call=501.345000
RESULT PASS checks=640115 samples=28 calls_per_sample=20000 draws=0 presents=0
