MODULE Y:\x3-mod\verification\probe\build\hook-admission-frozen-20260911-060702-692375\previous_proxy\d3d9.dll
BENCHMARK frequency=10000000 iterations=20000 trials=7 routes=4 draws=0 presents=0
SAMPLE route=get_render_state iteration=0 calls=20000 elapsed_ticks=10438 total_us=1043.800000 ns_per_call=52.190000
SAMPLE route=get_render_state iteration=1 calls=20000 elapsed_ticks=8055 total_us=805.500000 ns_per_call=40.275000
SAMPLE route=get_render_state iteration=2 calls=20000 elapsed_ticks=8082 total_us=808.200000 ns_per_call=40.410000
SAMPLE route=get_render_state iteration=3 calls=20000 elapsed_ticks=8100 total_us=810.000000 ns_per_call=40.500000
SAMPLE route=get_render_state iteration=4 calls=20000 elapsed_ticks=8166 total_us=816.600000 ns_per_call=40.830000
SAMPLE route=get_render_state iteration=5 calls=20000 elapsed_ticks=8104 total_us=810.400000 ns_per_call=40.520000
SAMPLE route=get_render_state iteration=6 calls=20000 elapsed_ticks=8115 total_us=811.500000 ns_per_call=40.575000
SAMPLE route=set_render_state iteration=0 calls=20000 elapsed_ticks=10578 total_us=1057.800000 ns_per_call=52.890000
SAMPLE route=set_render_state iteration=1 calls=20000 elapsed_ticks=10218 total_us=1021.800000 ns_per_call=51.090000
SAMPLE route=set_render_state iteration=2 calls=20000 elapsed_ticks=10757 total_us=1075.700000 ns_per_call=53.785000
SAMPLE route=set_render_state iteration=3 calls=20000 elapsed_ticks=10102 total_us=1010.200000 ns_per_call=50.510000
SAMPLE route=set_render_state iteration=4 calls=20000 elapsed_ticks=10038 total_us=1003.800000 ns_per_call=50.190000
SAMPLE route=set_render_state iteration=5 calls=20000 elapsed_ticks=9570 total_us=957.000000 ns_per_call=47.850000
SAMPLE route=set_render_state iteration=6 calls=20000 elapsed_ticks=11635 total_us=1163.500000 ns_per_call=58.175000
SAMPLE route=invalid_set_rt iteration=0 calls=20000 elapsed_ticks=27518 total_us=2751.800000 ns_per_call=137.590000
SAMPLE route=invalid_set_rt iteration=1 calls=20000 elapsed_ticks=30534 total_us=3053.400000 ns_per_call=152.670000
SAMPLE route=invalid_set_rt iteration=2 calls=20000 elapsed_ticks=30062 total_us=3006.200000 ns_per_call=150.310000
SAMPLE route=invalid_set_rt iteration=3 calls=20000 elapsed_ticks=29867 total_us=2986.700000 ns_per_call=149.335000
SAMPLE route=invalid_set_rt iteration=4 calls=20000 elapsed_ticks=27745 total_us=2774.500000 ns_per_call=138.725000
SAMPLE route=invalid_set_rt iteration=5 calls=20000 elapsed_ticks=26842 total_us=2684.200000 ns_per_call=134.210000
SAMPLE route=invalid_set_rt iteration=6 calls=20000 elapsed_ticks=27602 total_us=2760.200000 ns_per_call=138.010000
SAMPLE route=invalid_clear iteration=0 calls=20000 elapsed_ticks=100055 total_us=10005.500000 ns_per_call=500.275000
SAMPLE route=invalid_clear iteration=1 calls=20000 elapsed_ticks=97387 total_us=9738.700000 ns_per_call=486.935000
SAMPLE route=invalid_clear iteration=2 calls=20000 elapsed_ticks=105909 total_us=10590.900000 ns_per_call=529.545000
SAMPLE route=invalid_clear iteration=3 calls=20000 elapsed_ticks=96278 total_us=9627.800000 ns_per_call=481.390000
SAMPLE route=invalid_clear iteration=4 calls=20000 elapsed_ticks=95243 total_us=9524.300000 ns_per_call=476.215000
SAMPLE route=invalid_clear iteration=5 calls=20000 elapsed_ticks=95349 total_us=9534.900000 ns_per_call=476.745000
SAMPLE route=invalid_clear iteration=6 calls=20000 elapsed_ticks=94952 total_us=9495.200000 ns_per_call=474.760000
RESULT PASS checks=640115 samples=28 calls_per_sample=20000 draws=0 presents=0
