MODULE Y:\x3-mod\verification\probe\build\hook-admission-frozen-20260911-060702-692375\proxy_off\d3d9.dll
BENCHMARK frequency=10000000 iterations=20000 trials=7 routes=4 draws=0 presents=0
SAMPLE route=get_render_state iteration=0 calls=20000 elapsed_ticks=7649 total_us=764.900000 ns_per_call=38.245000
SAMPLE route=get_render_state iteration=1 calls=20000 elapsed_ticks=7670 total_us=767.000000 ns_per_call=38.350000
SAMPLE route=get_render_state iteration=2 calls=20000 elapsed_ticks=7448 total_us=744.800000 ns_per_call=37.240000
SAMPLE route=get_render_state iteration=3 calls=20000 elapsed_ticks=7491 total_us=749.100000 ns_per_call=37.455000
SAMPLE route=get_render_state iteration=4 calls=20000 elapsed_ticks=7630 total_us=763.000000 ns_per_call=38.150000
SAMPLE route=get_render_state iteration=5 calls=20000 elapsed_ticks=7811 total_us=781.100000 ns_per_call=39.055000
SAMPLE route=get_render_state iteration=6 calls=20000 elapsed_ticks=8168 total_us=816.800000 ns_per_call=40.840000
SAMPLE route=set_render_state iteration=0 calls=20000 elapsed_ticks=8516 total_us=851.600000 ns_per_call=42.580000
SAMPLE route=set_render_state iteration=1 calls=20000 elapsed_ticks=8515 total_us=851.500000 ns_per_call=42.575000
SAMPLE route=set_render_state iteration=2 calls=20000 elapsed_ticks=8422 total_us=842.200000 ns_per_call=42.110000
SAMPLE route=set_render_state iteration=3 calls=20000 elapsed_ticks=8453 total_us=845.300000 ns_per_call=42.265000
SAMPLE route=set_render_state iteration=4 calls=20000 elapsed_ticks=8376 total_us=837.600000 ns_per_call=41.880000
SAMPLE route=set_render_state iteration=5 calls=20000 elapsed_ticks=8669 total_us=866.900000 ns_per_call=43.345000
SAMPLE route=set_render_state iteration=6 calls=20000 elapsed_ticks=8682 total_us=868.200000 ns_per_call=43.410000
SAMPLE route=invalid_set_rt iteration=0 calls=20000 elapsed_ticks=33375 total_us=3337.500000 ns_per_call=166.875000
SAMPLE route=invalid_set_rt iteration=1 calls=20000 elapsed_ticks=34145 total_us=3414.500000 ns_per_call=170.725000
SAMPLE route=invalid_set_rt iteration=2 calls=20000 elapsed_ticks=33503 total_us=3350.300000 ns_per_call=167.515000
SAMPLE route=invalid_set_rt iteration=3 calls=20000 elapsed_ticks=33710 total_us=3371.000000 ns_per_call=168.550000
SAMPLE route=invalid_set_rt iteration=4 calls=20000 elapsed_ticks=33877 total_us=3387.700000 ns_per_call=169.385000
SAMPLE route=invalid_set_rt iteration=5 calls=20000 elapsed_ticks=33999 total_us=3399.900000 ns_per_call=169.995000
SAMPLE route=invalid_set_rt iteration=6 calls=20000 elapsed_ticks=34008 total_us=3400.800000 ns_per_call=170.040000
SAMPLE route=invalid_clear iteration=0 calls=20000 elapsed_ticks=100122 total_us=10012.200000 ns_per_call=500.610000
SAMPLE route=invalid_clear iteration=1 calls=20000 elapsed_ticks=95095 total_us=9509.500000 ns_per_call=475.475000
SAMPLE route=invalid_clear iteration=2 calls=20000 elapsed_ticks=95142 total_us=9514.200000 ns_per_call=475.710000
SAMPLE route=invalid_clear iteration=3 calls=20000 elapsed_ticks=95597 total_us=9559.700000 ns_per_call=477.985000
SAMPLE route=invalid_clear iteration=4 calls=20000 elapsed_ticks=94859 total_us=9485.900000 ns_per_call=474.295000
SAMPLE route=invalid_clear iteration=5 calls=20000 elapsed_ticks=96334 total_us=9633.400000 ns_per_call=481.670000
SAMPLE route=invalid_clear iteration=6 calls=20000 elapsed_ticks=94725 total_us=9472.500000 ns_per_call=473.625000
RESULT PASS checks=640115 samples=28 calls_per_sample=20000 draws=0 presents=0
