MODULE Y:\x3-mod\verification\probe\build\hook-admission-frozen-20260911-060702-692375\proxy_on\d3d9.dll
BENCHMARK frequency=10000000 iterations=20000 trials=7 routes=4 draws=0 presents=0
SAMPLE route=get_render_state iteration=0 calls=20000 elapsed_ticks=7823 total_us=782.300000 ns_per_call=39.115000
SAMPLE route=get_render_state iteration=1 calls=20000 elapsed_ticks=7809 total_us=780.900000 ns_per_call=39.045000
SAMPLE route=get_render_state iteration=2 calls=20000 elapsed_ticks=7751 total_us=775.100000 ns_per_call=38.755000
SAMPLE route=get_render_state iteration=3 calls=20000 elapsed_ticks=7793 total_us=779.300000 ns_per_call=38.965000
SAMPLE route=get_render_state iteration=4 calls=20000 elapsed_ticks=7724 total_us=772.400000 ns_per_call=38.620000
SAMPLE route=get_render_state iteration=5 calls=20000 elapsed_ticks=7690 total_us=769.000000 ns_per_call=38.450000
SAMPLE route=get_render_state iteration=6 calls=20000 elapsed_ticks=7494 total_us=749.400000 ns_per_call=37.470000
SAMPLE route=set_render_state iteration=0 calls=20000 elapsed_ticks=8645 total_us=864.500000 ns_per_call=43.225000
SAMPLE route=set_render_state iteration=1 calls=20000 elapsed_ticks=8464 total_us=846.400000 ns_per_call=42.320000
SAMPLE route=set_render_state iteration=2 calls=20000 elapsed_ticks=8581 total_us=858.100000 ns_per_call=42.905000
SAMPLE route=set_render_state iteration=3 calls=20000 elapsed_ticks=8563 total_us=856.300000 ns_per_call=42.815000
SAMPLE route=set_render_state iteration=4 calls=20000 elapsed_ticks=8545 total_us=854.500000 ns_per_call=42.725000
SAMPLE route=set_render_state iteration=5 calls=20000 elapsed_ticks=8400 total_us=840.000000 ns_per_call=42.000000
SAMPLE route=set_render_state iteration=6 calls=20000 elapsed_ticks=8445 total_us=844.500000 ns_per_call=42.225000
SAMPLE route=invalid_set_rt iteration=0 calls=20000 elapsed_ticks=62192 total_us=6219.200000 ns_per_call=310.960000
SAMPLE route=invalid_set_rt iteration=1 calls=20000 elapsed_ticks=62184 total_us=6218.400000 ns_per_call=310.920000
SAMPLE route=invalid_set_rt iteration=2 calls=20000 elapsed_ticks=62410 total_us=6241.000000 ns_per_call=312.050000
SAMPLE route=invalid_set_rt iteration=3 calls=20000 elapsed_ticks=62370 total_us=6237.000000 ns_per_call=311.850000
SAMPLE route=invalid_set_rt iteration=4 calls=20000 elapsed_ticks=62399 total_us=6239.900000 ns_per_call=311.995000
SAMPLE route=invalid_set_rt iteration=5 calls=20000 elapsed_ticks=62857 total_us=6285.700000 ns_per_call=314.285000
SAMPLE route=invalid_set_rt iteration=6 calls=20000 elapsed_ticks=65490 total_us=6549.000000 ns_per_call=327.450000
SAMPLE route=invalid_clear iteration=0 calls=20000 elapsed_ticks=130508 total_us=13050.800000 ns_per_call=652.540000
SAMPLE route=invalid_clear iteration=1 calls=20000 elapsed_ticks=126623 total_us=12662.300000 ns_per_call=633.115000
SAMPLE route=invalid_clear iteration=2 calls=20000 elapsed_ticks=125754 total_us=12575.400000 ns_per_call=628.770000
SAMPLE route=invalid_clear iteration=3 calls=20000 elapsed_ticks=124225 total_us=12422.500000 ns_per_call=621.125000
SAMPLE route=invalid_clear iteration=4 calls=20000 elapsed_ticks=126240 total_us=12624.000000 ns_per_call=631.200000
SAMPLE route=invalid_clear iteration=5 calls=20000 elapsed_ticks=125385 total_us=12538.500000 ns_per_call=626.925000
SAMPLE route=invalid_clear iteration=6 calls=20000 elapsed_ticks=125940 total_us=12594.000000 ns_per_call=629.700000
RESULT PASS checks=640115 samples=28 calls_per_sample=20000 draws=0 presents=0
