matched draws: previous 341, current 341, shared keys 341
draw   px     py     n     predicted dx,dy     measured dx,dy      |pred|   |meas|   ratio  
286    1278   305    6      -11.216,   4.805  -11.228,   4.802   12.202   12.212  1.0008
298    1275   305    7      -11.130,   4.791  -11.154,   4.799   12.117   12.142  1.0021
302    1275   305    7      -11.130,   4.791  -11.154,   4.799   12.117   12.142  1.0021
304    1275   305    7      -11.130,   4.791  -11.154,   4.799   12.117   12.142  1.0021
307    1275   305    7      -11.130,   4.791  -11.154,   4.799   12.117   12.142  1.0021
303    1275   305    7      -11.130,   4.791  -11.154,   4.799   12.117   12.142  1.0021
306    1275   305    7      -11.130,   4.791  -11.154,   4.799   12.117   12.142  1.0021
288    1277   310    9      -11.068,   4.720  -11.153,   4.735   12.032   12.117  1.0070
272    1272   305    6      -11.039,   4.781  -11.116,   4.797   12.030   12.107  1.0064
275    1270   305    2      -11.035,   4.785  -11.029,   4.786   12.028   12.022  0.9996
284    1268   305    6      -11.030,   4.789  -11.015,   4.793   12.025   12.013  0.9990
290    1278   313    7      -11.072,   4.688  -11.113,   4.695   12.023   12.064  1.0034
270    1271   304    3      -11.015,   4.796  -11.105,   4.810   12.014   12.101  1.0073
273    1269   304    6      -11.010,   4.800  -11.023,   4.810   12.011   12.027  1.0013
282    1268   304    7      -11.005,   4.804  -11.008,   4.805   12.008   12.011  1.0002
271    1270   305    2      -10.974,   4.784  -11.029,   4.786   11.971   12.022  1.0043
274    1268   305    6      -10.968,   4.788  -11.015,   4.793   11.968   12.013  1.0038
283    1266   305    4      -10.962,   4.792  -10.988,   4.797   11.964   11.989  1.0022
291    1274   311    9      -10.990,   4.704  -11.083,   4.719   11.954   12.046  1.0077
292    1274   313    9      -10.992,   4.684  -11.051,   4.692   11.949   12.006  1.0048
37     1082   302    3       -8.196,   4.683   -8.323,   4.692    9.440    9.554  1.0121
39     1079   302    4       -8.147,   4.680   -8.255,   4.687    9.396    9.493  1.0104
35     1079   302    4       -8.133,   4.677   -8.255,   4.687    9.382    9.493  1.0118
38     1075   302    7       -8.078,   4.676   -8.086,   4.682    9.334    9.344  1.0011
36     1074   302    6       -8.055,   4.673   -8.081,   4.682    9.312    9.340  1.0030

draws with |predicted| > 0.5 px: 275; sign agreement on both axes: 275
magnitude ratio measured/predicted: median 1.0006, min 0.9836, max 1.1241
absolute magnitude difference px: median 0.0056, max 0.9588
matched draws: previous 60, current 61, shared keys 60
draw   px     py     n     predicted dx,dy     measured dx,dy      |pred|   |meas|   ratio  
10     957    691    9       19.504,  14.639   19.450,  14.588   24.387   24.313  0.9970
67     578    441    5       11.954,   7.151   11.956,   7.151   13.930   13.932  1.0001
54     578    441    5       11.954,   7.151   11.956,   7.151   13.930   13.932  1.0001
53     578    441    5       11.954,   7.151   11.956,   7.151   13.930   13.932  1.0001
55     578    441    5       11.954,   7.151   11.956,   7.151   13.930   13.932  1.0001
65     578    441    5       11.954,   7.151   11.956,   7.151   13.930   13.932  1.0001
69     578    441    5       11.954,   7.151   11.956,   7.151   13.930   13.932  1.0001
62     578    441    5       11.954,   7.151   11.956,   7.151   13.930   13.932  1.0001

draws with |predicted| > 0.5 px: 39; sign agreement on both axes: 39
magnitude ratio measured/predicted: median 1.0001, min 0.9970, max 1.0553
absolute magnitude difference px: median 0.0742, max 0.3216
