1 ('-73.tga', '01.cat:dds/exp_sparks1_diff.pck', 'not in the r0 atlas set', 'not eligible')
1 ('-75.tga', '01.cat:dds/exp_sparks1_diff.pck', 'atlased r0', 'not eligible')
1 ('-77.tga', '01.cat:dds/exp_flak_diff.pck', 'not in the r0 atlas set', 'not eligible')
1 ('-78.tga', '01.cat:dds/exp_debris1_diff.pck', 'atlased r0', 'not eligible')
5 ('-79.dds', '01.cat:dds/fx_engine_blue1_diff.pck', 'not in the r0 atlas set', 'not eligible')
3 ('-79.tga', '01.cat:dds/fx_engine_blue1_diff.pck', 'not in the r0 atlas set', 'ELIGIBLE')
123 ('-79.tga', '01.cat:dds/fx_engine_blue1_diff.pck', 'not in the r0 atlas set', 'not eligible')
1 ('-81.dds', 'refused:texture_animation_unsupported', 'not in the r0 atlas set', 'ELIGIBLE')
10 ('-81.tga', 'refused:texture_animation_unsupported', 'atlased r0', 'not eligible')
24 ('-81.tga', 'refused:texture_animation_unsupported', 'not in the r0 atlas set', 'ELIGIBLE')
1 ('-81.tga', 'refused:texture_animation_unsupported', 'not in the r0 atlas set', 'not eligible')
2 ('-82.tga', '01.cat:dds/fx_exp_A_p1_diff.pck', 'not in the r0 atlas set', 'not eligible')
1 ('-83.tga', '01.cat:dds/fx_exp_B_p1_diff.pck', 'not in the r0 atlas set', 'not eligible')
1 ('-85.tga', '01.cat:dds/fx_beam_diff.pck', 'not in the r0 atlas set', 'not eligible')
1 ('-90.dds', '01.cat:dds/fighterexp_1_diff.pck', 'not in the r0 atlas set', 'not eligible')
1 ('-90.tga', '01.cat:dds/fighterexp_1_diff.pck', 'not in the r0 atlas set', 'not eligible')
1 ('-91.dds', '01.cat:dds/m6exp_1_diff.pck', 'not in the r0 atlas set', 'not eligible')
1 ('-91.tga', '01.cat:dds/m6exp_1_diff.pck', 'not in the r0 atlas set', 'not eligible')
1 ('-92.tga', '01.cat:dds/fx_flamethrower_1.pck', 'not in the r0 atlas set', 'not eligible')
2 ('-93.dds', '01.cat:dds/xtm_nuke_flash1a.pck', 'not in the r0 atlas set', 'not eligible')
2 ('-94.dds', '01.cat:dds/fx_whiteshockwave_1.pck', 'not in the r0 atlas set', 'not eligible')
2 ('-97.dds', '01.cat:dds/fx_engine_purple1_diff.pck', 'not in the r0 atlas set', 'not eligible')
2 ('18.jpg', 'refused:texture_generated', 'not in the r0 atlas set', 'not eligible')
1 ('61', 'refused:texture_generated', 'atlased r0', 'not eligible')
1 ('61.jpg', 'refused:texture_generated', 'not in the r0 atlas set', 'not eligible')
1 ('GI\\AGI_M1_421_2\\exp_impact_glow_diff.tga', 'placeholder:NONE_GRAY', 'not in the r0 atlas set', 'ELIGIBLE')
1 ('GI\\AGI_M1_421_2\\exp_impact_glow_diff.tga', 'placeholder:NONE_GRAY', 'not in the r0 atlas set', 'not eligible')
1 ('GON_M2_OCC_EXAMPLE\\argon_M2_BLU_occl.tga', 'placeholder:NONE_OCCL_DECAL', 'not in the r0 atlas set', 'ELIGIBLE')
28 ('GON_M2_OCC_EXAMPLE\\argon_M2_BRI_occl.tga', 'placeholder:NONE_OCCL_DECAL', 'atlased r0', 'ELIGIBLE')
24 ('GON_M2_OCC_EXAMPLE\\argon_M2_BRI_occl.tga', 'placeholder:NONE_OCCL_DECAL', 'not in the r0 atlas set', 'ELIGIBLE')
56 ('\\Mox\\Desktop\\GREEBLE\\argon_M2_N_occl.tga', 'placeholder:NONE_OCCL_DECAL', 'atlased r0', 'ELIGIBLE')
47 ('\\Mox\\Desktop\\GREEBLE\\argon_M2_N_occl.tga', 'placeholder:NONE_OCCL_DECAL', 'not in the r0 atlas set', 'ELIGIBLE')
9 ('est-26th\\06052008\\AGI_m3\\envmap_test.dds', 'placeholder:NONE_BLACK', 'atlased r0', 'not eligible')
20 ('est-26th\\06052008\\AGI_m3\\envmap_test.dds', 'placeholder:NONE_BLACK', 'not in the r0 atlas set', 'ELIGIBLE')
1 ('est-26th\\06052008\\AGI_m3\\envmap_test.dds', 'placeholder:NONE_BLACK', 'not in the r0 atlas set', 'not eligible')
