TABLE rows=16
CHECK row=0 pair_and_per_stage_lookups_applied_identically
CHECK row=0 all_original_words_preserved
CHECK row=0 vertex_previous_clip_and_public_abi
CHECK row=0 authored_fragment_register_bits_literals_and_opcodes
CHECK row=0 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=0 twenty_one_row_perturbations_refused_atomically
CHECK row=0 forty_program_perturbations_refused_by_revalidation
CHECK row=0 every_input_dword_every_bit_atomic_refusals
CHECK row=0 six_input_output_alias_layouts_applied
CHECK row=0 cross_alias_refusal_atomic
ROW index=0 vs=494fe349b8bc12ec ps=fffdabd910793aba class=C status=PASS vertex_words=545 pixel_words=1780 mutations=69568 program_perturbations=40
CHECK row=1 pair_and_per_stage_lookups_applied_identically
CHECK row=1 argon_output_byte_identical_to_previous_transformer
CHECK row=1 all_original_words_preserved
CHECK row=1 vertex_previous_clip_and_public_abi
CHECK row=1 authored_fragment_register_bits_literals_and_opcodes
CHECK row=1 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=1 twenty_one_row_perturbations_refused_atomically
CHECK row=1 twenty_six_program_perturbations_refused_by_revalidation
CHECK row=1 every_input_dword_every_bit_atomic_refusals
CHECK row=1 six_input_output_alias_layouts_applied
CHECK row=1 cross_alias_refusal_atomic
ROW index=1 vs=53a0a641107ed76c ps=8759c7838bbc86c2 class=A status=PASS vertex_words=545 pixel_words=1392 mutations=57152 program_perturbations=26
CHECK row=2 pair_and_per_stage_lookups_applied_identically
CHECK row=2 all_original_words_preserved
CHECK row=2 vertex_previous_clip_and_public_abi
CHECK row=2 authored_fragment_register_bits_literals_and_opcodes
CHECK row=2 invalid_wrong_pair_truncated_appended_atomic_refusal
CHECK row=2 twenty_one_row_perturbations_refused_atomically
CHECK row=2 forty_program_perturbations_refused_by_revalidation
CHECK row=2 every_input_dword_every_bit_atomic_refusals
CHECK row=2 six_input_output_alias_layouts_applied
CHECK row=2 cross_alias_refusal_atomic
ROW index=2 vs=37c34a7478544c14 ps=5f82ecacd39529cd class=C status=PASS vertex_words=787 pixel_words=1897 mutations=81056 program_perturbations=40
CHECK row=3 pair_and_per_stage_lookups_applied_identically
CHECK row=3 all_original_words_preserved
CHECK row=3 vertex_previous_clip_and_public_abi
CHECK row=3 authored_fragment_register_bits_literals_and_opcodes
