/tmp/x3-bottleX3-run254 5497-5527: interior hull px/frame median 38250 (min 36168 max 42067); routed 100.0%; routed disp px/frame p10/p50/p90/p99 [0.3, 0.46, 12.55, 26.53]
 motion_bin px E_taa/E_hdr E_present/E_color
  0-0.5 679184 0.442 0.524
  0.5-1 178508 0.254 0.252
  1-2 90431 0.041 0.060
  2-4 27309 0.045 0.064
  4-8 53868 0.096 0.109
  8-16 97419 0.068 0.089
  16-1e+09 81479 0.020 0.033
 age_bin px E_taa/E_hdr E_present/E_color
  1 3589 1.031 1.065
  2-4 12563 0.224 0.272
  5-16 73502 0.054 0.076
  17-63 116555 0.023 0.036
  64 1002005 0.322 0.341
