frame dt_ms draws prims max_prims c_draws c_prims casters caster_prims replay_draws replay_us bounds
3613 959 297 607872 59029 36 12390 353 931183 213 1469 271
3614 969 297 607866 59029 36 12390 353 931183 213 1328 271
3615 983 297 607868 59029 36 12390 353 931183 213 1365 271
3616 954 297 607864 59029 36 12390 353 931183 213 1487 271
3617 1000 297 607864 59029 36 12390 353 931183 213 1197 271
3618 839 297 607868 59029 36 12390 353 931183 213 1236 271
3619 876 297 607870 59029 36 12390 353 931183 213 1209 271
3620 956 297 607864 59029 36 12390 353 931183 213 1079 271
5964 580 296 616183 59029 28 11988 395 1033670 216 727 271
5965 590 297 616519 59029 29 12308 396 1033990 217 722 272
5966 574 298 616853 59029 30 12628 397 1034310 218 810 273
5967 573 298 616861 59029 30 12628 397 1034310 218 711 273
5968 608 298 616879 59029 30 12628 397 1034310 218 726 273
5969 611 298 616877 59029 30 12628 397 1034310 218 994 273
5970 640 298 616847 59029 30 12628 397 1034310 218 773 273
5971 600 300 617513 59029 32 13268 399 1034950 220 728 275
