field 2520-2819 3300-3599 5880-5999
frame_end.draws 305.0 297.0 296.0
frame_end.dt_ms 20.0 35.0 19.0
hdr_frame.meter_us 59.5 358.9 58.0
hdr_frame.readback_us 169.6 341.9 174.9
hdr_frame.writeback_us 109.1 588.6 108.9
motion_frame.fill_us 55.2 147.5 52.8
motion_frame.taa_draw_us 526.4 1537.5 541.5
motion_frame.taa_run_us 789.8 2228.3 802.5
shadow_candidates.c4 201.0 203.0 206.0
shadow_candidates.footprint_refused4 19.0 17.0 14.0
shadow_candidates.select_us 15.5 22.3 15.3
shadow_depth.draws 209.0 212.0 216.0
shadow_depth.us 705.1 1249.2 730.4
shadow_frame.us 257.4 373.3 309.0
sun_frame.us 65.5 180.1 67.1
volumetric_frame.applied 0.0 0.0 0.0
volumetric_frame.cpu_us 0.0 0.0 0.0
