first last utc_first dt_ms draws hdr_wb_us meter_us taa_us sdepth_us
2100 2159 22:50:17 13.0 166 105 57 704 556
2160 2219 22:50:18 13.0 143 111 61 753 557
2220 2279 22:50:19 12.0 123 101 55 687 548
2280 2339 22:50:20 14.0 149 114 62 791 580
2340 2399 22:50:20 13.0 149 102 54 697 578
2400 2459 22:50:21 13.0 149 102 55 691 581
2460 2519 22:50:22 14.0 153 119 66 755 591
2520 2579 22:50:23 21.0 298 107 58 787 716
2580 2639 22:50:24 20.0 307 103 56 756 700
2640 2699 22:50:25 20.0 333 102 54 743 694
2700 2759 22:50:27 20.0 305 115 63 816 709
2760 2819 22:50:28 21.0 298 150 83 957 727
2820 2879 22:50:29 29.0 298 372 238 1619 978
2880 2939 22:50:31 31.0 298 451 302 1886 1093
2940 2999 22:50:33 30.5 298 413 256 1928 1068
3000 3059 22:50:35 33.0 298 623 389 2148 1120
3060 3119 22:50:37 30.0 297 381 238 1812 1108
3120 3179 22:50:39 31.0 301 380 248 1914 1137
3180 3239 22:50:41 35.0 297 534 329 2324 1219
3240 3299 22:50:43 34.0 297 572 346 2258 1235
3300 3359 22:50:45 34.0 297 531 325 2114 1178
3360 3419 22:50:47 38.0 297 748 433 2401 1224
3420 3479 22:50:49 40.0 297 832 460 2941 1291
3480 3539 22:50:52 35.5 297 616 358 2222 1307
3540 3599 22:50:54 33.0 297 426 272 1978 1262
3600 3659 22:50:56 32.0 297 371 225 1808 1196
3660 3719 22:51:05 30.0 297 331 200 1617 1169
3720 3779 22:51:07 33.0 325 397 249 1635 1152
3780 3839 22:51:09 30.5 322 258 137 1471 1059
3840 3899 22:51:11 30.5 308 313 190 1578 1081
3900 3959 22:51:13 31.0 340 279 173 1444 1052
3960 4019 22:51:15 32.0 340 252 131 1381 935
4020 4079 22:51:17 28.0 306 150 85 1064 850
4080 4139 22:51:19 30.0 301 296 172 1428 1007
4140 4199 22:51:21 33.0 315 370 222 1749 1166
4200 4259 22:51:23 42.0 315 694 440 2751 1500
4260 4319 22:51:25 23.0 326 122 68 899 808
4320 4379 22:51:27 22.0 327 117 63 879 814
4380 4439 22:51:28 22.0 289 145 83 997 787
4440 4499 22:51:29 22.0 289 174 93 1048 804
4500 4559 22:51:31 22.0 289 150 81 966 780
4560 4619 22:51:32 21.0 289 109 60 812 754
4620 4679 22:51:33 21.0 289 108 58 804 749
4680 4739 22:51:35 22.0 289 115 62 874 764
4740 4799 22:51:36 21.0 289 118 64 850 748
4800 4859 22:51:37 22.0 289 125 69 895 764
4860 4919 22:51:39 21.0 289 118 63 836 737
4920 4979 22:51:40 19.0 259 110 58 779 664
4980 5039 22:51:41 19.0 259 116 63 820 683
5040 5099 22:51:43 18.0 259 118 66 815 670
5100 5159 22:51:44 18.0 259 106 58 756 658
5160 5219 22:51:45 18.0 259 109 59 782 659
5220 5279 22:51:46 18.0 259 110 60 790 661
5280 5339 22:51:47 19.0 289 106 57 782 722
5340 5399 22:51:48 19.0 289 113 61 800 723
5400 5459 22:51:49 19.0 289 105 57 795 725
5460 5519 22:51:51 19.0 289 112 60 826 725
5520 5579 22:51:52 19.0 289 108 57 786 723
5580 5639 22:51:53 19.0 289 104 56 778 719
5640 5699 22:51:54 19.0 289 106 58 780 722
5700 5759 22:51:55 20.0 290 122 65 909 749
5760 5819 22:51:56 19.0 291 109 58 830 722
5820 5879 22:51:58 19.0 292 104 56 790 717
5880 5939 22:51:59 19.0 296 105 57 789 723
5940 5999 22:52:00 20.0 325 110 59 826 762
6000 6059 22:52:06 21.0 308 138 78 965 809
6060 6119 22:52:07 22.0 308 131 69 951 820
6120 6179 22:52:09 21.0 299 121 65 893 807
6180 6239 22:52:10 20.0 322 105 56 794 810
6240 6299 22:52:11 15.0 176 106 55 788 737
6300 6359 22:52:12 15.0 176 106 58 792 729
6360 6419 22:52:13 17.0 180 152 87 997 764
6420 6479 22:52:14 19.0 269 119 64 842 770
6480 6539 22:52:15 14.0 147 119 63 802 701
6540 6599 22:52:16 16.0 173 120 67 828 699
6600 6659 22:52:17 16.0 173 122 67 823 698
6660 6719 22:52:18 17.0 173 115 62 813 696
6720 6779 22:52:19 16.0 173 116 62 817 658
6780 6839 22:52:20 14.0 147 105 56 748 644
6840 6899 22:52:21 19.0 299 106 57 756 680
6900 6959 22:52:22 19.5 299 109 59 737 692
6960 7019 22:52:23 20.0 321 106 57 753 707
7020 7079 22:52:25 20.0 321 105 59 732 694
7080 7139 22:52:26 19.0 275 104 57 738 663
7140 7199 22:52:27 18.0 275 105 56 727 645
7200 7259 22:52:28 26.0 275 268 173 1449 774
7260 7319 22:52:30 25.0 275 284 185 1592 817
7320 7379 22:52:31 27.0 301 280 178 1581 832
7380 7439 22:52:33 28.0 331 287 193 1606 892
7440 7499 22:52:35 27.0 328 211 125 1355 803
7500 7559 22:52:36 21.0 328 114 62 815 718
7560 7619 22:52:37 21.0 328 113 60 783 690
7620 7679 22:52:39 20.0 328 105 57 775 676
7680 7739 22:52:40 16.0 231 102 54 732 604
7740 7799 22:52:41 16.0 203 106 57 737 612
7800 7859 22:52:42 17.0 204 114 62 774 647
7860 7919 22:52:43 16.0 189 101 54 741 663
7920 7979 22:52:44 15.0 189 103 56 758 687
7980 8039 22:52:45 14.5 155 103 55 776 692
8040 8099 22:52:46 15.0 169 100 54 787 704
8100 8159 22:52:47 14.0 177 114 58 891 732
