field 6500-6799 8200-8499 8524-8800
frame_end.draws 272.0 216.0 250.0
frame_end.dt_ms 18.0 16.0 17.0
hdr_frame.meter_us 56.2 56.2 56.7
hdr_frame.readback_us 235.4 155.2 151.2
hdr_frame.writeback_us 102.9 104.1 104.7
motion_frame.fill_us 45.3 44.0 46.3
motion_frame.taa_draw_us 492.2 473.9 483.8
motion_frame.taa_run_us 735.9 773.0 786.9
shadow_candidates.c4 190.0 147.0 150.0
shadow_candidates.footprint_refused4 14.0 11.0 27.0
shadow_candidates.select_us 11.7 9.4 10.2
shadow_depth.draws 199.0 155.0 167.0
shadow_depth.us 674.4 823.7 829.3
shadow_frame.us 285.9 483.8 484.4
sun_frame.us 62.0 61.3 63.0
volumetric_frame.applied 0.0 0.0 0.0
volumetric_frame.cpu_us 0.0 0.0 0.0
