/tmp/x3-bottleX3-run262 12555-12585: interior hull px/frame median 44631 (min 38917 max 53742); routed 100.0%; routed disp px/frame p10/p50/p90/p99 [0.3, 0.59, 11.83, 23.7]
 motion_bin px E_taa/E_hdr E_present/E_color
  0-0.5 663404 0.458 0.550
  0.5-1 100639 0.438 0.506
  1-2 76782 0.043 0.062
  2-4 228943 0.037 0.058
  4-8 84852 0.060 0.091
  8-16 181287 0.147 0.209
  16-1e+09 76275 0.113 0.163
 age_bin px E_taa/E_hdr E_present/E_color
  1 3565 1.032 1.096
  2-4 8528 0.317 0.399
  5-16 26222 0.101 0.141
  17-63 128853 0.099 0.147
  64 1245017 0.278 0.294
