OTHER gpu_sync_timing_mode requested=1 passes=14 boundaries=28 window=300 serialises=1
OTHER gpu_sync_timing available=1 reason=ok result=00000000 device=1 event=create queries=28 references=28 window=300 spin_limit_ms=500
W1 frames=0..299 dt_med=21.1 dt_p90=25.2 dropped=0 unclosed=297
   scene          n= 297 med= 17.554 p90= 19.194 wait= 1.387 med-floor= 17.290
   present        n= 300 med=  2.433 p90=  5.288 wait= 0.866 med-floor=  2.169
   hdr_writeback  n=   2 med=  2.000 p90=  5.581 wait= 0.917 med-floor=  1.736
   meter          n=   2 med=  0.979 p90= 12.675 wait= 0.855 med-floor=  0.715
   hdr_readback   n=   2 med=  0.169 p90=  0.450 wait= 0.016 med-floor=  0.000
   fog_fill       n=   2 med=  0.018 p90=  0.224 wait= 0.015 med-floor=  0.000
W2 frames=300..599 dt_med=24.5 dt_p90=25.3 dropped=0 unclosed=300
   scene          n= 300 med= 19.127 p90= 20.105 wait= 1.403 med-floor= 18.863
   present        n= 300 med=  3.744 p90=  4.952 wait= 2.326 med-floor=  3.480
W3 frames=600..899 dt_med=21.9 dt_p90=25.1 dropped=0 unclosed=266
   scene          n= 299 med= 17.620 p90= 20.628 wait= 1.302 med-floor= 17.356
   engine         n=  33 med=  5.321 p90= 11.963 wait= 1.848 med-floor=  5.057
   fog_route      n=   8 med=  5.232 p90= 39.631 wait= 0.019 med-floor=  4.968
   taa            n=  33 med=  4.304 p90=  5.544 wait= 4.086 med-floor=  4.040
   present        n= 300 med=  2.430 p90=  4.730 wait= 1.014 med-floor=  2.166
   hdr_writeback  n=  33 med=  1.585 p90=  2.220 wait= 1.110 med-floor=  1.321
   bloom          n=  33 med=  1.534 p90=  1.846 wait= 1.129 med-floor=  1.270
   sun_apply      n=  33 med=  1.206 p90=  2.020 wait= 1.127 med-floor=  0.942
   shadow_depth   n=  33 med=  0.990 p90=  1.250 wait= 0.863 med-floor=  0.726
   meter          n=  33 med=  0.490 p90=  0.737 wait= 0.424 med-floor=  0.226
   motes          n=   8 med=  0.322 p90=  7.954 wait= 0.313 med-floor=  0.058
   hdr_readback   n=  33 med=  0.198 p90=  0.373 wait= 0.020 med-floor=  0.000
   retention      n=  33 med=  0.031 p90=  0.038 wait= 0.017 med-floor=  0.000
   fog_fill       n=  33 med=  0.026 p90=  0.836 wait= 0.017 med-floor=  0.000
W4 frames=900..1199 dt_med=22.8 dt_p90=25.5 dropped=0 unclosed=0
   scene          n= 300 med= 19.384 p90= 21.602 wait= 1.031 med-floor= 19.120
   engine         n= 300 med=  5.150 p90=  5.656 wait= 1.470 med-floor=  4.886
   fog_route      n= 300 med=  4.434 p90=  5.152 wait= 0.019 med-floor=  4.170
   taa            n= 300 med=  2.895 p90=  3.169 wait= 2.603 med-floor=  2.631
   present        n= 300 med=  1.643 p90=  3.766 wait= 0.567 med-floor=  1.379
   bloom          n= 300 med=  1.236 p90=  1.394 wait= 0.819 med-floor=  0.972
   hdr_writeback  n= 300 med=  1.079 p90=  1.228 wait= 0.646 med-floor=  0.815
   shadow_depth   n= 300 med=  0.873 p90=  0.926 wait= 0.751 med-floor=  0.609
   sun_apply      n= 300 med=  0.740 p90=  0.862 wait= 0.658 med-floor=  0.476
   hdr_readback   n= 300 med=  0.397 p90=  0.497 wait= 0.020 med-floor=  0.133
   meter          n= 300 med=  0.375 p90=  0.432 wait= 0.308 med-floor=  0.111
   motes          n= 300 med=  0.227 p90=  0.356 wait= 0.215 med-floor=  0.000
   retention      n= 300 med=  0.030 p90=  0.047 wait= 0.017 med-floor=  0.000
   fog_fill       n= 300 med=  0.023 p90=  0.145 wait= 0.016 med-floor=  0.000
W5 frames=1200..1499 dt_med=24.5 dt_p90=26.7 dropped=0 unclosed=0
   scene          n= 300 med= 20.395 p90= 22.057 wait= 1.044 med-floor= 20.131
   engine         n= 300 med=  5.689 p90=  6.326 wait= 1.713 med-floor=  5.425
   fog_route      n= 300 med=  4.380 p90=  4.958 wait= 0.019 med-floor=  4.116
   taa            n= 300 med=  3.063 p90=  3.343 wait= 2.823 med-floor=  2.799
   present        n= 300 med=  1.649 p90=  2.600 wait= 0.560 med-floor=  1.385
   bloom          n= 300 med=  1.238 p90=  1.351 wait= 0.840 med-floor=  0.974
   hdr_writeback  n= 300 med=  1.089 p90=  1.214 wait= 0.648 med-floor=  0.825
   shadow_depth   n= 300 med=  0.966 p90=  1.086 wait= 0.781 med-floor=  0.702
   sun_apply      n= 300 med=  0.741 p90=  0.861 wait= 0.657 med-floor=  0.477
   hdr_readback   n= 300 med=  0.391 p90=  0.481 wait= 0.020 med-floor=  0.127
   meter          n= 300 med=  0.375 p90=  0.414 wait= 0.308 med-floor=  0.111
   motes          n= 300 med=  0.218 p90=  0.342 wait= 0.209 med-floor=  0.000
   retention      n= 300 med=  0.066 p90=  0.087 wait= 0.017 med-floor=  0.000
   fog_fill       n= 300 med=  0.023 p90=  0.032 wait= 0.016 med-floor=  0.000
W6 frames=1500..1799 dt_med=24.4 dt_p90=29.4 dropped=0 unclosed=0
   scene          n= 300 med= 19.748 p90= 22.665 wait= 1.034 med-floor= 19.484
   engine         n= 300 med=  5.402 p90=  6.189 wait= 1.728 med-floor=  5.138
   fog_route      n= 300 med=  4.395 p90=  5.263 wait= 0.019 med-floor=  4.131
   taa            n= 300 med=  2.905 p90=  3.259 wait= 2.678 med-floor=  2.641
   present        n= 300 med=  1.653 p90=  3.538 wait= 0.567 med-floor=  1.389
   bloom          n= 300 med=  1.230 p90=  1.480 wait= 0.820 med-floor=  0.966
   hdr_writeback  n= 300 med=  1.093 p90=  1.340 wait= 0.648 med-floor=  0.829
   shadow_depth   n= 300 med=  0.954 p90=  1.105 wait= 0.781 med-floor=  0.690
   sun_apply      n= 300 med=  0.746 p90=  0.908 wait= 0.661 med-floor=  0.482
   hdr_readback   n= 300 med=  0.393 p90=  0.497 wait= 0.020 med-floor=  0.129
   meter          n= 300 med=  0.376 p90=  0.495 wait= 0.308 med-floor=  0.112
   motes          n= 300 med=  0.220 p90=  0.374 wait= 0.211 med-floor=  0.000
   retention      n= 300 med=  0.068 p90=  0.096 wait= 0.017 med-floor=  0.000
   fog_fill       n= 300 med=  0.022 p90=  0.038 wait= 0.016 med-floor=  0.000
W7 frames=1800..2099 dt_med=22.4 dt_p90=25.6 dropped=0 unclosed=164
   scene          n= 299 med= 18.953 p90= 21.631 wait= 1.261 med-floor= 18.689
   fog_route      n= 135 med=  5.056 p90=  5.898 wait= 0.019 med-floor=  4.792
   engine         n= 135 med=  4.774 p90=  5.176 wait= 1.499 med-floor=  4.510
   taa            n= 135 med=  3.072 p90=  3.409 wait= 2.825 med-floor=  2.808
   present        n= 300 med=  2.161 p90=  4.332 wait= 0.696 med-floor=  1.897
   bloom          n= 135 med=  1.287 p90=  1.487 wait= 0.893 med-floor=  1.023
   hdr_writeback  n= 135 med=  1.211 p90=  1.383 wait= 0.755 med-floor=  0.947
   shadow_depth   n= 135 med=  0.944 p90=  1.078 wait= 0.784 med-floor=  0.680
   sun_apply      n= 135 med=  0.850 p90=  0.902 wait= 0.766 med-floor=  0.586
   hdr_readback   n= 135 med=  0.400 p90=  0.507 wait= 0.021 med-floor=  0.136
   meter          n= 135 med=  0.388 p90=  0.502 wait= 0.311 med-floor=  0.124
