OTHER gpu_sync_timing_mode requested=1 passes=14 boundaries=28 window=300 serialises=1
OTHER gpu_sync_timing available=1 reason=ok result=00000000 device=1 event=create queries=28 references=28 window=300 spin_limit_ms=500
W1 frames=0..299 dt_med=21.9 dt_p90=25.6 dropped=0 unclosed=297
   scene          n= 297 med= 18.456 p90= 20.564 wait= 1.522 med-floor= 18.192
   present        n= 300 med=  2.418 p90=  4.755 wait= 0.789 med-floor=  2.154
   hdr_writeback  n=   2 med=  2.286 p90=  6.576 wait= 0.956 med-floor=  2.022
   meter          n=   2 med=  1.127 p90= 13.159 wait= 0.828 med-floor=  0.863
   hdr_readback   n=   2 med=  0.356 p90=  0.670 wait= 0.147 med-floor=  0.092
   fog_fill       n=   2 med=  0.037 p90=  0.368 wait= 0.034 med-floor=  0.000
W2 frames=300..599 dt_med=23.6 dt_p90=30.8 dropped=0 unclosed=257
   scene          n= 299 med= 19.924 p90= 25.074 wait= 1.481 med-floor= 19.660
   engine         n=  42 med=  7.480 p90=  9.681 wait= 1.792 med-floor=  7.216
   fog_route      n=  23 med=  6.216 p90=  6.584 wait= 0.029 med-floor=  5.952
   taa            n=  42 med=  3.934 p90=  6.576 wait= 3.437 med-floor=  3.670
   present        n= 300 med=  2.374 p90=  4.817 wait= 0.765 med-floor=  2.110
   bloom          n=  42 med=  1.944 p90=  2.295 wait= 1.184 med-floor=  1.680
   hdr_writeback  n=  42 med=  1.897 p90=  2.501 wait= 0.944 med-floor=  1.633
   sun_apply      n=  42 med=  1.119 p90=  1.832 wait= 0.986 med-floor=  0.855
   shadow_depth   n=  42 med=  1.091 p90=  1.633 wait= 0.918 med-floor=  0.827
   meter          n=  42 med=  0.636 p90=  0.857 wait= 0.438 med-floor=  0.372
   hdr_readback   n=  42 med=  0.405 p90=  0.559 wait= 0.029 med-floor=  0.141
   motes          n=  23 med=  0.371 p90=  0.622 wait= 0.343 med-floor=  0.107
   fog_fill       n=  42 med=  0.194 p90=  0.568 wait= 0.119 med-floor=  0.000
   retention      n=  42 med=  0.052 p90=  0.213 wait= 0.026 med-floor=  0.000
W3 frames=600..899 dt_med=30.4 dt_p90=34.5 dropped=0 unclosed=0
   scene          n= 300 med= 25.005 p90= 28.568 wait= 1.141 med-floor= 24.741
   engine         n= 300 med=  6.723 p90=  7.573 wait= 1.669 med-floor=  6.459
   fog_route      n= 300 med=  5.943 p90=  6.845 wait= 0.026 med-floor=  5.679
   taa            n= 300 med=  3.588 p90=  4.087 wait= 3.174 med-floor=  3.324
   present        n= 300 med=  1.875 p90=  3.901 wait= 0.650 med-floor=  1.611
   bloom          n= 300 med=  1.576 p90=  2.306 wait= 0.940 med-floor=  1.312
