OTHER gpu_sync_timing_mode requested=1 passes=14 boundaries=28 window=300 serialises=1
OTHER gpu_sync_timing available=1 reason=ok result=00000000 device=1 event=create queries=28 references=28 window=300 spin_limit_ms=500
W1 frames=0..299 dt_med=20.8 dt_p90=25.1 dropped=0 unclosed=297
   scene          n= 297 med= 16.680 p90= 19.453 wait= 1.391 med-floor= 16.416
   present        n= 300 med=  2.243 p90=  5.006 wait= 0.720 med-floor=  1.979
   hdr_writeback  n=   2 med=  1.910 p90=  5.914 wait= 0.922 med-floor=  1.646
   meter          n=   2 med=  0.868 p90= 11.720 wait= 0.727 med-floor=  0.604
   hdr_readback   n=   2 med=  0.164 p90=  0.433 wait= 0.015 med-floor=  0.000
   fog_fill       n=   2 med=  0.020 p90=  0.218 wait= 0.017 med-floor=  0.000
W2 frames=300..599 dt_med=22.4 dt_p90=25.8 dropped=0 unclosed=99
   scene          n= 299 med= 19.082 p90= 20.945 wait= 1.045 med-floor= 18.818
   engine         n= 200 med=  5.143 p90=  5.760 wait= 1.568 med-floor=  4.879
   fog_route      n= 176 med=  4.706 p90=  5.698 wait= 0.020 med-floor=  4.442
   taa            n= 200 med=  2.797 p90=  3.874 wait= 2.573 med-floor=  2.533
   present        n= 300 med=  1.774 p90=  4.456 wait= 0.573 med-floor=  1.510
   bloom          n= 200 med=  1.180 p90=  1.448 wait= 0.796 med-floor=  0.916
   hdr_writeback  n= 200 med=  1.069 p90=  1.460 wait= 0.639 med-floor=  0.805
   shadow_depth   n= 200 med=  0.876 p90=  0.981 wait= 0.754 med-floor=  0.612
   sun_apply      n= 200 med=  0.739 p90=  1.085 wait= 0.656 med-floor=  0.475
   hdr_readback   n= 200 med=  0.384 p90=  0.415 wait= 0.021 med-floor=  0.120
   meter          n= 200 med=  0.376 p90=  0.492 wait= 0.309 med-floor=  0.112
   motes          n= 176 med=  0.217 p90=  0.343 wait= 0.207 med-floor=  0.000
   retention      n= 200 med=  0.032 p90=  0.073 wait= 0.018 med-floor=  0.000
   fog_fill       n= 200 med=  0.024 p90=  0.272 wait= 0.017 med-floor=  0.000
W3 frames=600..899 dt_med=23.4 dt_p90=25.7 dropped=0 unclosed=0
   scene          n= 300 med= 19.209 p90= 20.556 wait= 1.035 med-floor= 18.945
   engine         n= 300 med=  4.799 p90=  5.111 wait= 1.489 med-floor=  4.535
   fog_route      n= 300 med=  4.670 p90=  5.102 wait= 0.019 med-floor=  4.406
   taa            n= 300 med=  2.809 p90=  3.031 wait= 2.581 med-floor=  2.545
   present        n= 300 med=  1.626 p90=  3.878 wait= 0.552 med-floor=  1.362
   bloom          n= 300 med=  1.189 p90=  1.357 wait= 0.801 med-floor=  0.925
   hdr_writeback  n= 300 med=  1.090 p90=  1.215 wait= 0.648 med-floor=  0.826
   shadow_depth   n= 300 med=  0.877 p90=  0.928 wait= 0.756 med-floor=  0.613
   sun_apply      n= 300 med=  0.740 p90=  0.848 wait= 0.658 med-floor=  0.476
   hdr_readback   n= 300 med=  0.385 p90=  0.436 wait= 0.021 med-floor=  0.121
   meter          n= 300 med=  0.376 p90=  0.439 wait= 0.310 med-floor=  0.112
