frame 7606 draws=160 by camera={'477f1340': 5, '477f0ba8': 137, '00000000': 9, '477eaee0': 3, '114a33f8': 4, '477d4e08': 1, '4769f800': 1}
  38 draws  147498 prim model=000053b8 cam=0ba8 ovl=1 ctxlod=[0, 1] lods=3 thr=100000,30,150 nodes=2+0nocensus s=93,d=15380230,r=2246786,lod=1,kept s=117440512,d=-21279,r=2246786,lod=0,kept body=Stations\others\military_outpost_middleb
  18 draws    5760 prim model=00005421 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=18+0nocensus s=4,d=20507310,r=150314,lod=0,kept s=4,d=20514905,r=150314,lod=0,kept s=4,d=20654298,r=150314,lod=0,kept body=stations\connections\connect_argon_pipe_huge_cargoanimA_
  12 draws    3840 prim model=00005432 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=12+0nocensus s=4,d=19843521,r=150314,lod=0,kept s=4,d=19851458,r=150314,lod=0,kept s=4,d=19929940,r=150314,lod=0,kept body=stations\connections\connect_argon_pipe_huge_cargoanimA
   9 draws    1440 prim model=00005422 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=9+0nocensus s=4,d=20489148,r=140475,lod=0,kept s=4,d=20638196,r=140475,lod=0,kept s=4,d=20817843,r=140475,lod=0,kept body=stations\connections\connect_argon_pipe_huge_cargoanimB_
   9 draws    1242 prim model=00000000 cam=0000 ovl=0 ctxlod=[0] no census row nodes=0+1nocensus  body=-
   6 draws   10362 prim model=00004a88 cam=0ba8 ovl=0 ctxlod=[0] lods=4 thr=100000,30,15,5 nodes=5+0nocensus s=45,d=17243,r=1236,lod=0,kept s=45,d=17246,r=1236,lod=0,kept s=51,d=15460,r=1236,lod=0,kept body=ships\props\weapondummy
   6 draws  170744 prim model=00005434 cam=0ba8 ovl=1 ctxlod=[1] lods=3 thr=100000,30,154 nodes=1+0nocensus s=17,d=20099673,r=535270,lod=1,kept body=stations\station_scenes\tech\argon_tech_L_laser_bb
   6 draws     960 prim model=00005433 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=6+0nocensus s=4,d=19854296,r=140475,lod=0,kept s=4,d=19942645,r=140475,lod=0,kept s=4,d=20014617,r=140475,lod=0,kept body=stations\connections\connect_argon_pipe_huge_cargoanimB
   4 draws    3968 prim model=000050e9 cam=1340 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=1+0nocensus s=117440512,d=0,r=5000000,lod=0,kept body=environments\nebulae\greenvoid\nebula_greenvoid_background_01
   4 draws  107397 prim model=00005411 cam=0ba8 ovl=1 ctxlod=[1] lods=3 thr=100000,250,278 nodes=1+0nocensus s=173,d=7203269,r=1953631,lod=1,kept body=stations\station_scenes\others\argon_spacedock
   4 draws   90006 prim model=00005530 cam=0ba8 ovl=1 ctxlod=[1] lods=3 thr=100000,30,83 nodes=1+0nocensus s=33,d=10835381,r=568030,lod=1,kept body=ships\owp\owp_large
   4 draws   96942 prim model=0000543f cam=0ba8 ovl=1 ctxlod=[1] lods=3 thr=100000,250,173 nodes=1+0nocensus s=41,d=10892075,r=711107,lod=1,kept body=stations\station_scenes\tech\argon_tech_L_shield_F
   4 draws   94502 prim model=0000542b cam=0ba8 ovl=1 ctxlod=[1] lods=3 thr=100000,250,184 nodes=1+0nocensus s=17,d=20737255,r=572549,lod=1,kept body=stations\station_scenes\tech\argon_tech_M_laser_G
