win frames dt scene present | taa copy mask box resolve sum taa-sum | fog_route march comp repair motes excl | npairs waits undiag_lo..hi
W1 0..299 20.0 16.08 2.06 | 0.00 0.00 0.00 0.00 0.00 0.00 0.00 | 0.00 0.00 0.00 0.00 0.00 0.00 | 6 3.06 15.4..16.7  engine=0.00
W2 300..599 21.0 17.28 2.08 | 0.00 0.00 0.00 0.00 0.00 0.00 0.00 | 0.00 0.00 0.00 0.00 0.00 0.00 | 6 3.99 15.5..16.8  engine=0.00
W3 600..899 7.8 4.62 3.71 | 0.00 0.00 0.00 0.00 0.00 0.00 0.00 | 0.00 0.00 0.00 0.00 0.00 0.00 | 6 4.68 1.6..2.9  engine=0.00
W4 900..1199 7.7 4.69 3.84 | 0.00 0.00 0.00 0.00 0.00 0.00 0.00 | 0.00 0.00 0.00 0.00 0.00 0.00 | 6 4.78 1.3..2.6  engine=0.00
W5 1200..1499 22.9 19.20 2.17 | 6.56 0.46 2.15 1.19 2.20 6.00 0.56 | 0.00 0.00 0.00 0.00 0.00 0.00 | 16 14.63 4.0..8.0  engine=5.55
W6 1500..1799 31.3 26.72 1.86 | 6.33 0.46 2.06 1.18 2.55 6.24 0.08 | 0.00 0.00 0.00 0.00 0.00 0.00 | 16 16.30 10.8..14.8  engine=9.92
W7 1800..2099 31.5 26.33 1.84 | 6.32 0.45 2.05 1.18 2.47 6.15 0.17 | 0.00 0.00 0.00 0.00 0.00 0.00 | 16 16.09 11.1..15.1  engine=9.67
W8 2100..2399 29.7 24.91 1.85 | 6.21 0.46 2.02 1.17 2.45 6.10 0.11 | 0.00 0.00 0.00 0.00 0.00 0.00 | 16 15.87 9.7..13.6  engine=8.32
W9 2400..2699 29.8 25.45 1.90 | 6.00 0.45 2.13 1.18 2.08 5.84 0.15 | 0.00 0.00 0.00 0.00 0.00 0.00 | 16 16.20 9.3..13.3  engine=8.69
W10 2700..2999 30.7 25.48 1.86 | 6.02 0.45 2.14 1.18 2.08 5.85 0.17 | 0.00 0.00 0.00 0.00 0.00 0.00 | 16 16.23 10.3..14.2  engine=8.69
W11 3000..3299 30.4 25.57 1.88 | 6.03 0.45 2.14 1.18 2.09 5.86 0.18 | 0.00 0.00 0.00 0.00 0.00 0.00 | 16 16.19 9.9..13.9  engine=8.66
W12 3300..3599 30.2 25.52 1.88 | 6.10 0.46 2.14 1.18 2.10 5.88 0.22 | 0.00 0.00 0.00 0.00 0.00 0.00 | 16 16.36 9.6..13.6  engine=8.73
W13 3600..3899 20.8 17.37 1.96 | 3.77 0.45 1.20 0.83 1.15 3.63 0.13 | 6.51 4.64 0.56 0.56 0.21 0.54 | 21 16.38 -1.2..4.1  engine=6.28
W14 3900..4199 28.3 24.43 1.70 | 4.16 0.45 1.21 0.83 1.51 3.99 0.16 | 6.65 4.79 0.55 0.57 0.21 0.54 | 21 16.69 6.0..11.3  engine=6.12
W15 4200..4499 29.6 24.36 1.74 | 4.00 0.45 1.23 0.83 1.27 3.77 0.22 | 6.74 4.88 0.56 0.57 0.21 0.53 | 21 16.72 7.3..12.6  engine=6.06
W16 4500..4799 30.4 25.76 1.74 | 4.58 0.46 1.33 0.87 1.73 4.39 0.19 | 6.87 4.91 0.57 0.58 0.22 0.61 | 21 17.55 7.3..12.6  engine=6.08
W17 4800..5099 28.7 24.52 1.71 | 4.23 0.45 1.33 0.83 1.38 3.99 0.24 | 6.80 4.91 0.56 0.57 0.21 0.56 | 21 17.11 6.0..11.3  engine=5.13
W18 5100..5399 29.0 24.31 1.76 | 4.22 0.45 1.33 0.93 1.37 4.08 0.14 | 6.83 4.93 0.56 0.57 0.22 0.56 | 21 17.24 6.2..11.5  engine=5.11
W19 5400..5699 29.7 24.53 1.72 | 4.23 0.45 1.34 0.84 1.38 4.01 0.21 | 6.88 5.01 0.56 0.57 0.22 0.52 | 21 17.27 6.9..12.2  engine=5.09
