frame=300 dt_p50=14138 dt_p95=18039 fps_p50=70.7 draws_p50=459 draw_p50_us=1710
frame=600 dt_p50=15168 dt_p95=19326 fps_p50=65.9 draws_p50=497 draw_p50_us=1824
frame=900 dt_p50=15500 dt_p95=18823 fps_p50=64.5 draws_p50=505 draw_p50_us=1848
frame=1200 dt_p50=16390 dt_p95=20084 fps_p50=61.0 draws_p50=535 draw_p50_us=1959
frame=1500 dt_p50=16354 dt_p95=18752 fps_p50=61.1 draws_p50=541 draw_p50_us=1975
frame=1800 dt_p50=16204 dt_p95=20733 fps_p50=61.7 draws_p50=535 draw_p50_us=1966
frame=2100 dt_p50=16195 dt_p95=20600 fps_p50=61.7 draws_p50=537 draw_p50_us=1945
frame=2400 dt_p50=11630 dt_p95=14389 fps_p50=86.0 draws_p50=9 draw_p50_us=88
frame=2700 dt_p50=11919 dt_p95=17250 fps_p50=83.9 draws_p50=133 draw_p50_us=1222
frame=3000 dt_p50=12374 dt_p95=18465 fps_p50=80.8 draws_p50=137 draw_p50_us=1259
frame=3300 dt_p50=16082 dt_p95=19903 fps_p50=62.2 draws_p50=187 draw_p50_us=1664
frame=3600 dt_p50=14286 dt_p95=18030 fps_p50=70.0 draws_p50=163 draw_p50_us=1448
frame=3900 dt_p50=16336 dt_p95=21237 fps_p50=61.2 draws_p50=191 draw_p50_us=1727
frame=4200 dt_p50=17681 dt_p95=21005 fps_p50=56.6 draws_p50=217 draw_p50_us=1973
frame=4500 dt_p50=16249 dt_p95=20066 fps_p50=61.5 draws_p50=186 draw_p50_us=1739
frame=4800 dt_p50=18750 dt_p95=22251 fps_p50=53.3 draws_p50=222 draw_p50_us=2002
frame=5100 dt_p50=18008 dt_p95=21269 fps_p50=55.5 draws_p50=177 draw_p50_us=1591
frame=5400 dt_p50=16381 dt_p95=21233 fps_p50=61.0 draws_p50=161 draw_p50_us=1467
frame=5700 dt_p50=14678 dt_p95=20127 fps_p50=68.1 draws_p50=142 draw_p50_us=1262
frame=6000 dt_p50=14053 dt_p95=18617 fps_p50=71.2 draws_p50=142 draw_p50_us=1248
frame=6300 dt_p50=16492 dt_p95=22222 fps_p50=60.6 draws_p50=179 draw_p50_us=1594
frame=6600 dt_p50=16759 dt_p95=19873 fps_p50=59.7 draws_p50=211 draw_p50_us=1859
frame=6900 dt_p50=15430 dt_p95=19534 fps_p50=64.8 draws_p50=165 draw_p50_us=1482
frame=7200 dt_p50=15074 dt_p95=18326 fps_p50=66.3 draws_p50=173 draw_p50_us=1568
frame=7500 dt_p50=14648 dt_p95=17558 fps_p50=68.3 draws_p50=160 draw_p50_us=1468
frame=7800 dt_p50=14669 dt_p95=19304 fps_p50=68.2 draws_p50=160 draw_p50_us=1464 <== burst
frame=8100 dt_p50=15370 dt_p95=19304 fps_p50=65.1 draws_p50=164 draw_p50_us=1756
frame=8400 dt_p50=15141 dt_p95=18580 fps_p50=66.0 draws_p50=162 draw_p50_us=1564
frame=8700 dt_p50=15969 dt_p95=19221 fps_p50=62.6 draws_p50=137 draw_p50_us=1276
