run pair rotdeg | residual rms at box 1 4 8 16 32 64 px (luminance) | per degree box16 box32
run289 s2 2155->2156 1.06 | 5.61e-03 4.08e-03 3.11e-03 2.09e-03 1.32e-03 7.25e-04 | 1.98e-03 1.25e-03
run289 s2 2156->2157 1.10 | 5.73e-03 4.22e-03 3.26e-03 2.27e-03 1.43e-03 7.80e-04 | 2.07e-03 1.30e-03
run289 s2 2157->2158 1.14 | 5.70e-03 4.21e-03 3.25e-03 2.25e-03 1.37e-03 7.70e-04 | 1.96e-03 1.19e-03
run289 s2 2158->2159 1.20 | 5.60e-03 4.10e-03 3.14e-03 2.10e-03 1.28e-03 6.81e-04 | 1.75e-03 1.07e-03
run289 s2 2159->2160 1.18 | 5.48e-03 3.96e-03 3.00e-03 2.03e-03 1.20e-03 6.54e-04 | 1.72e-03 1.02e-03
run289 s2 2160->2161 1.08 | 5.36e-03 3.88e-03 2.93e-03 1.99e-03 1.28e-03 7.33e-04 | 1.84e-03 1.18e-03
run289 s2 2161->2162 1.12 | 5.73e-03 4.11e-03 3.13e-03 2.12e-03 1.30e-03 8.59e-04 | 1.90e-03 1.16e-03
run290 s4 2632->2633 1.25 | 4.51e-03 3.44e-03 2.70e-03 1.83e-03 1.14e-03 7.16e-04 | 1.46e-03 9.11e-04
run290 s4 2633->2634 1.03 | 4.50e-03 3.45e-03 2.69e-03 1.88e-03 1.21e-03 5.81e-04 | 1.83e-03 1.18e-03
run290 s4 2634->2635 0.60 | 4.62e-03 3.51e-03 2.71e-03 1.82e-03 1.40e-03 1.71e-03 | 3.03e-03 2.33e-03
run290 s4 2635->2636 7.41 | 5.64e-03 4.26e-03 3.36e-03 2.42e-03 1.68e-03 1.19e-03 | 3.27e-04 2.27e-04
run290 s4 2636->2637 11.28 | 5.59e-03 4.40e-03 3.54e-03 2.59e-03 1.73e-03 1.10e-03 | 2.30e-04 1.53e-04
run290 s4 2637->2638 11.48 | 5.47e-03 4.25e-03 3.33e-03 2.38e-03 1.64e-03 1.05e-03 | 2.07e-04 1.43e-04
run290 s4 2638->2639 11.78 | 5.92e-03 4.57e-03 3.61e-03 2.52e-03 1.74e-03 1.16e-03 | 2.14e-04 1.47e-04
