win frames dt50 dt90 | scene engine fog_route fog_march fog_composite fog_repair motes taa taa_copy taa_mask taa_mask_tests taa_mask_x taa_mask_y taa_box taa_resolve taa_display bloom present | npass sum_of_leaf_and_top_medians(n>=150, excl. taa/fog_route/taa_mask_* nests; scene included) | rot50 rot90 still% | census(ppm,needs_px,p90,max,scale,missed)
W1 0..299 23.6 27.6 | 20.05 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.20 | 6 22.2 | nan nan 0 | ('0', '0', '0', '0', '0', '0')
W2 300..599 39.1 42.1 | 34.71 7.91 7.63 3.04 1.14 1.16 0.21 8.25 0.02 3.03 1.50 0.68 0.67 2.22 2.89 nan 2.66 1.92 | 24 66.1 | 0.294 1.096 0 | ('124', '918', '1031', '1090', '4', '0')
W3 600..899 40.3 42.8 | 34.37 8.12 7.31 2.79 1.14 1.15 0.20 8.08 0.02 2.93 1.50 0.67 0.66 2.16 2.78 nan 2.66 1.88 | 24 65.2 | 0.294 0.294 0 | ('120', '890', '941', '992', '4', '0')
W4 900..1199 38.8 41.4 | 34.26 8.15 7.26 2.79 1.13 1.15 0.20 8.06 0.02 2.92 1.50 0.67 0.66 2.20 2.78 nan 2.65 1.88 | 24 65.1 | 0.294 0.294 0 | ('121', '895', '945', '995', '4', '0')
W5 1200..1499 39.2 41.4 | 34.56 8.09 7.22 2.79 1.13 1.15 0.20 8.73 0.02 2.92 1.50 0.67 0.66 2.21 3.48 nan 2.65 1.89 | 24 66.1 | 0.294 0.509 17 | ('111', '820', '956', '1216', '4', '0')
W6 1500..1799 40.1 42.3 | 34.53 7.72 7.18 2.68 1.14 1.15 0.20 8.76 0.02 2.92 1.50 0.67 0.66 2.12 3.48 nan 2.65 1.89 | 24 65.5 | 0.209 0.329 20 | ('100', '744', '819', '915', '4', '0')
W7 1800..2099 38.5 40.4 | 33.59 6.74 7.19 2.68 1.14 1.15 0.20 8.65 0.02 2.92 1.50 0.67 0.66 2.20 3.47 nan 2.65 2.20 | 24 62.8 | 0.000 0.276 62 | ('55', '409', '741', '882', '4', '0')
W8 2100..2399 39.5 42.0 | 35.03 8.27 7.20 2.78 1.13 1.14 0.20 8.81 0.02 2.92 1.50 0.67 0.66 2.21 3.49 nan 2.65 2.05 | 24 66.9 | 0.227 0.913 26 | ('102', '759', '905', '1115', '4', '0')
W9 2400..2699 39.4 42.6 | 34.68 7.59 7.16 2.67 1.14 1.15 0.20 8.82 0.02 2.92 1.50 0.67 0.66 2.21 3.49 nan 2.65 1.84 | 24 65.8 | 0.804 1.447 0 | ('94', '698', '872', '1191', '4', '0')
W10 2700..2999 40.7 43.4 | 35.31 8.14 7.23 2.69 1.14 1.15 0.31 8.84 0.02 2.93 1.50 0.67 0.66 2.21 3.50 nan 2.66 1.90 | 24 67.1 | 0.227 0.456 32 | ('90', '667', '913', '1184', '4', '0')
W11 3000..3299 40.4 43.0 | 35.82 9.22 7.13 2.67 1.14 1.15 0.20 8.61 0.02 2.93 1.50 0.68 0.66 2.21 3.34 nan 2.65 2.22 | 24 67.7 | 0.410 1.626 2 | ('93', '686', '910', '1247', '4', '0')
W12 3300..3599 44.1 48.4 | 37.60 11.36 7.12 2.56 1.14 1.15 0.32 8.63 0.02 2.93 1.50 0.67 0.66 2.12 3.46 nan 2.66 1.90 | 23 71.5 | 0.000 1.696 55 | ('144', '1068', '1393', '1709', '4', '0')
W13 3600..3899 40.4 43.7 | 34.96 7.58 7.22 2.68 1.14 1.15 0.31 8.93 0.02 2.94 1.50 0.68 0.67 2.22 3.60 nan 2.66 1.84 | 23 65.7 | 0.424 1.719 7 | ('60', '444', '561', '634', '4', '0')
W14 3900..4199 41.9 44.7 | 37.44 10.24 7.24 2.68 1.14 1.15 0.21 8.93 0.02 2.95 1.50 0.68 0.67 2.21 3.60 nan 2.66 1.90 | 23 70.8 | 0.917 2.158 6 | ('131', '966', '1280', '1915', '4', '0')
W15 4200..4499 39.3 41.9 | 34.91 7.07 7.38 2.90 1.14 1.15 0.21 9.03 0.02 2.96 1.50 0.68 0.67 2.22 3.62 nan 2.67 2.05 | 24 66.7 | 0.298 1.407 30 | ('31', '234', '289', '335', '4', '0')
W16 4500..4799 38.1 41.3 | 33.56 5.83 7.25 2.69 1.15 1.16 0.21 8.53 0.02 2.99 1.51 0.68 0.67 2.23 2.94 nan 2.71 1.92 | 24 63.2 | 0.121 1.570 10 | ('14', '106', '145', '330', '4', '0')
W17 4800..5099 38.5 41.6 | 33.36 5.83 7.04 2.56 1.14 1.16 0.21 8.29 0.02 2.97 1.51 0.68 0.67 2.17 2.90 nan 2.70 1.93 | 24 62.7 | 0.121 1.534 0 | ('14', '110', '12477', '12695', '4', '0')
W18 5100..5399 38.3 40.9 | 32.97 6.66 6.49 1.98 1.14 1.15 0.20 8.76 0.02 2.92 1.50 0.67 0.66 2.21 3.49 nan 2.66 1.88 | 24 62.5 | 0.194 1.126 36 | ('71', '1813', '3366', '4793', '4', '0')
W19 5400..5699 33.6 35.9 | 30.27 4.81 6.48 1.99 1.13 1.14 0.20 8.18 0.02 2.92 1.50 0.67 0.66 2.21 2.80 nan 2.65 2.20 | 24 57.3 | 0.128 0.247 15 | ('1', '14', '25', '33', '4', '0')
W20 5700..5999 33.9 36.0 | 30.25 4.66 6.49 2.08 1.13 1.14 0.20 8.76 0.02 2.92 1.50 0.67 0.66 2.21 3.48 nan 2.65 2.14 | 24 56.7 | 0.762 2.208 2 | ('2', '25', '772', '1414', '4', '0')
W21 6000..6299 35.0 38.5 | 31.15 4.25 6.89 2.43 1.14 1.15 0.20 8.93 0.02 3.12 1.50 0.71 0.77 2.22 3.61 nan 2.66 2.01 | 24 58.2 | 0.269 1.191 9 | ('1', '15', '26', '44', '4', '0')
W22 6300..6599 36.2 39.4 | 29.65 4.05 7.20 2.67 1.13 1.14 0.32 8.20 0.02 2.99 1.50 0.67 0.66 2.21 2.80 nan 2.65 1.89 | 23 55.6 | 0.269 0.269 0 | ('1', '12', '26', '28', '4', '0')
W23 6600..6899 36.4 38.6 | 32.41 4.62 7.62 3.04 1.14 1.15 0.22 9.32 0.02 3.13 1.50 0.78 0.77 2.22 3.83 nan 2.67 1.82 | 23 60.4 | 0.477 1.528 17 | ('2', '19', '33', '51', '4', '0')
W24 6900..7199 36.1 38.2 | 32.47 5.31 7.52 3.01 1.14 1.15 0.21 9.22 0.02 3.04 1.50 0.68 0.67 2.22 3.75 nan 2.66 1.83 | 23 60.8 | 0.442 1.015 14 | ('2', '19', '32', '56', '4', '0')
W25 7200..7499 36.6 39.7 | 32.35 6.42 7.23 2.68 1.14 1.15 0.21 9.04 0.02 2.96 1.50 0.67 0.66 2.22 3.70 nan 2.65 1.94 | 23 61.4 | 0.211 1.400 30 | ('2', '17', '27', '36', '4', '0')
n per pass in last window: {'scene': 299, 'engine': 234, 'shadow_depth': 234, 'sun_apply': 234, 'retention': 234, 'fog_fill': 234, 'fog_route': 234, 'motes': 234, 'taa': 234, 'hdr_writeback': 234, 'hdr_readback': 234, 'bloom': 234, 'present': 300, 'taa_copy': 234, 'taa_mask': 234, 'taa_box': 234, 'taa_resolve': 234, 'fog_march': 234, 'fog_composite': 234, 'fog_repair': 234, 'taa_mask_tests': 234, 'taa_mask_x': 234, 'taa_mask_y': 234}
