run frame sky_px lumMean | x: d2 phase0..3 ratio0 ratio02(ph0+ph2 vs ph1+ph3) | y: same | acx lag1..8 | acy lag1..8
run289 s2 2155 7110758 0.2521 | 1.05e-03 1.02e-03 1.06e-03 1.02e-03 1.02 1.04 | 3.13e-03 3.11e-03 3.15e-03 3.12e-03 1.00 1.01 | +0.59 +0.43 +0.23 +0.13 +0.08 +0.05 +0.04 +0.04 | +0.61 +0.50 +0.37 +0.31 +0.27 +0.26 +0.25 +0.24
run289 s2 2156 7106395 0.2520 | 1.08e-03 1.04e-03 1.07e-03 1.05e-03 1.03 1.03 | 3.20e-03 3.17e-03 3.20e-03 3.20e-03 1.00 1.00 | +0.59 +0.43 +0.23 +0.13 +0.08 +0.05 +0.05 +0.04 | +0.61 +0.50 +0.37 +0.31 +0.27 +0.26 +0.25 +0.24
run289 s2 2157 7102681 0.2517 | 1.09e-03 1.05e-03 1.09e-03 1.05e-03 1.02 1.04 | 3.24e-03 3.18e-03 3.22e-03 3.19e-03 1.01 1.01 | +0.59 +0.43 +0.23 +0.13 +0.07 +0.05 +0.05 +0.04 | +0.61 +0.50 +0.37 +0.31 +0.27 +0.26 +0.25 +0.24
run289 s2 2158 7100762 0.2512 | 1.09e-03 1.06e-03 1.10e-03 1.06e-03 1.02 1.04 | 3.26e-03 3.21e-03 3.24e-03 3.20e-03 1.01 1.01 | +0.59 +0.43 +0.23 +0.13 +0.07 +0.05 +0.05 +0.04 | +0.61 +0.50 +0.37 +0.31 +0.27 +0.26 +0.25 +0.24
run289 s2 2159 7100523 0.2506 | 1.10e-03 1.05e-03 1.09e-03 1.05e-03 1.03 1.04 | 3.27e-03 3.21e-03 3.25e-03 3.23e-03 1.01 1.01 | +0.59 +0.43 +0.23 +0.13 +0.07 +0.05 +0.04 +0.04 | +0.61 +0.50 +0.37 +0.31 +0.27 +0.26 +0.25 +0.24
run289 s2 2160 7099844 0.2498 | 1.08e-03 1.04e-03 1.07e-03 1.04e-03 1.03 1.03 | 3.25e-03 3.22e-03 3.25e-03 3.23e-03 1.01 1.01 | +0.59 +0.43 +0.23 +0.13 +0.08 +0.06 +0.05 +0.04 | +0.61 +0.50 +0.37 +0.31 +0.27 +0.26 +0.24 +0.24
run289 s2 2161 7098020 0.2489 | 1.07e-03 1.03e-03 1.08e-03 1.04e-03 1.01 1.03 | 3.26e-03 3.21e-03 3.24e-03 3.20e-03 1.01 1.01 | +0.59 +0.42 +0.23 +0.13 +0.08 +0.06 +0.05 +0.04 | +0.61 +0.50 +0.37 +0.31 +0.27 +0.25 +0.24 +0.24
run289 s2 2162 7089530 0.2479 | 1.06e-03 1.02e-03 1.06e-03 1.03e-03 1.02 1.03 | 3.24e-03 3.19e-03 3.26e-03 3.21e-03 1.01 1.02 | +0.60 +0.42 +0.23 +0.12 +0.07 +0.05 +0.04 +0.04 | +0.61 +0.50 +0.36 +0.30 +0.26 +0.25 +0.23 +0.23
run290 s4 2632 6975328 0.2049 | 7.16e-04 7.11e-04 7.22e-04 7.22e-04 1.00 1.00 | 1.18e-03 1.17e-03 1.18e-03 1.17e-03 1.01 1.01 | +0.60 +0.42 +0.21 +0.11 +0.06 +0.04 +0.03 +0.02 | +0.60 +0.43 +0.22 +0.12 +0.07 +0.04 +0.04 +0.03
run290 s4 2633 6987813 0.2059 | 7.37e-04 7.22e-04 7.35e-04 7.33e-04 1.01 1.01 | 1.23e-03 1.23e-03 1.22e-03 1.21e-03 1.01 1.00 | +0.60 +0.42 +0.22 +0.11 +0.06 +0.04 +0.02 +0.02 | +0.60 +0.43 +0.22 +0.12 +0.07 +0.05 +0.04 +0.04
