run pair rotdeg conv | n_px rms/meanL | rms by x mod 4 (0..3) | rms by y mod 4 | x ratio (ph2/ph0) y ratio | odd/even x (scale-2 cell) y
run289 s2 2155->2156 1.06 RtT_Rp/row/j+0 | 6916418 0.0223 | 5.59e-03 5.60e-03 5.62e-03 5.62e-03 | 5.61e-03 5.59e-03 5.60e-03 5.63e-03 | 1.006 0.997 | 1.001 1.001
run289 s2 2156->2157 1.10 RtT_Rp/row/j+0 | 6901606 0.0227 | 5.75e-03 5.71e-03 5.74e-03 5.72e-03 | 5.76e-03 5.70e-03 5.73e-03 5.75e-03 | 0.999 0.995 | 0.995 0.997
run289 s2 2157->2158 1.14 RtT_Rp/row/j+0 | 6892478 0.0226 | 5.72e-03 5.68e-03 5.69e-03 5.70e-03 | 5.69e-03 5.68e-03 5.70e-03 5.72e-03 | 0.994 1.001 | 0.997 1.001
run289 s2 2158->2159 1.20 RtT_Rp/row/j+0 | 6891809 0.0223 | 5.59e-03 5.60e-03 5.62e-03 5.59e-03 | 5.60e-03 5.59e-03 5.63e-03 5.59e-03 | 1.006 1.005 | 0.998 0.996
run289 s2 2159->2160 1.18 RtT_Rp/row/j+0 | 6899962 0.0219 | 5.49e-03 5.46e-03 5.49e-03 5.48e-03 | 5.46e-03 5.45e-03 5.53e-03 5.49e-03 | 1.001 1.013 | 0.996 0.995
run289 s2 2160->2161 1.08 RtT_Rp/row/j+0 | 6888993 0.0214 | 5.34e-03 5.36e-03 5.39e-03 5.36e-03 | 5.32e-03 5.41e-03 5.40e-03 5.32e-03 | 1.009 1.015 | 0.999 1.001
run289 s2 2161->2162 1.12 RtT_Rp/row/j+0 | 6805689 0.0229 | 5.71e-03 5.73e-03 5.73e-03 5.73e-03 | 5.72e-03 5.73e-03 5.76e-03 5.69e-03 | 1.004 1.007 | 1.001 0.995
run290 s4 2632->2633 1.25 RtT_Rp/row/j+0 | 6654684 0.0221 | 4.50e-03 4.48e-03 4.52e-03 4.54e-03 | 4.49e-03 4.53e-03 4.50e-03 4.53e-03 | 1.003 1.003 | 1.000 1.008
run290 s4 2633->2634 1.03 RtT_Rp/row/j+0 | 6723817 0.0219 | 4.50e-03 4.50e-03 4.50e-03 4.51e-03 | 4.49e-03 4.48e-03 4.53e-03 4.53e-03 | 0.999 1.009 | 1.001 0.999
run290 s4 2634->2635 0.60 RtT_Rp/row/j+0 | 6856568 0.0223 | 4.55e-03 4.64e-03 4.69e-03 4.58e-03 | 4.63e-03 4.59e-03 4.58e-03 4.65e-03 | 1.030 0.989 | 0.998 1.003
run290 s4 2635->2636 7.41 RtT_Rp/row/j+0 | 5359583 0.0274 | 5.62e-03 5.63e-03 5.66e-03 5.64e-03 | 5.63e-03 5.72e-03 5.62e-03 5.59e-03 | 1.009 0.999 | 1.000 1.006
run290 s4 2636->2637 11.28 RtT_Rp/row/j+0 | 4950133 0.0282 | 5.56e-03 5.58e-03 5.61e-03 5.59e-03 | 5.60e-03 5.57e-03 5.56e-03 5.62e-03 | 1.008 0.992 | 1.000 1.002
run290 s4 2637->2638 11.48 RtT_Rp/row/j+0 | 5116251 0.0289 | 5.47e-03 5.48e-03 5.46e-03 5.48e-03 | 5.41e-03 5.47e-03 5.51e-03 5.50e-03 | 0.997 1.017 | 1.002 1.005
run290 s4 2638->2639 11.78 RtT_Rp/row/j+0 | 5053411 0.0330 | 5.95e-03 5.88e-03 5.92e-03 5.95e-03 | 5.88e-03 5.85e-03 6.01e-03 5.95e-03 | 0.995 1.022 | 0.997 0.992
