frames shadow_depth sun_apply taa_mask taa_box taa_resolve taa scene dt_median_us
0..299 - - - - - - 19696 22795
300..599 746 1431 1433 2374 2668 6710 21294 25198
600..899 794 1435 1430 2358 2658 6680 24022 29161
900..1199 935 1435 1431 2348 2568 6603 26163 33371
1200..1499 958 1433 1431 2348 2572 6616 25909 30160
1500..1799 958 1435 1430 2352 2561 6611 25957 29898
1800..2099 955 1432 1433 2358 2563 6679 26091 29853
2100..2399 985 1447 1439 2358 2566 6649 26218 30237
2400..2699 965 1436 1433 2354 2608 6642 26180 30161
2700..2999 1092 1432 1428 2348 2561 6602 26453 31465
3000..3299 1253 1438 1430 2348 2570 6609 26356 31684
3300..3599 1390 1542 1431 2342 2561 6604 27628 34360
3600..3899 1535 1442 1429 2344 2586 6596 27765 33797
3900..4199 1461 1546 1429 2349 2566 6615 25990 32164
4200..4499 1592 1445 1436 2351 2659 6695 24654 29928
4500..4799 1611 1470 1444 2360 2687 6764 26195 30102
4800..5099 1687 1480 1451 2363 2680 6757 27153 31152
5100..5399 1558 1439 1436 2357 2663 6699 25749 29476
5400..5699 1578 1455 1450 2367 2675 6740 25998 29821
5700..5999 1576 1452 1453 2369 2664 6740 25895 29713
6000..6299 1635 1548 1541 2360 2672 6753 26556 30770
6300..6599 1662 1523 1550 2353 2682 6761 25353 30363
6600..6899 1651 1466 1550 2361 2680 6775 24715 29932
6900..7199 1734 1477 1461 2372 2690 6784 25609 30058
7200..7499 1781 1582 1480 2387 2711 6865 25458 29522
7500..7799 1985 1619 1507 2400 2708 6871 30020 34483
7800..8099 1962 1641 1544 2411 2733 6942 29362 33960
8100..8399 1973 1738 1601 2415 2763 7084 29625 34146
8400..8699 2033 1739 1607 2427 2746 7020 29754 34508
8700..8999 2015 1710 1590 2437 2753 7011 30324 38389
9000..9299 1928 1701 1620 2457 2780 7142 31265 37098
9300..9599 1530 1621 1503 2421 2709 6938 25562 33644
9600..9899 1400 1623 1507 2418 2714 6936 25316 33133
9900..10199 1821 1588 1487 2410 2666 6852 32041 36875
10200..10499 1753 1550 1458 2371 2593 6669 31043 35075
10500..10799 1267 1589 1543 2357 2689 6825 25001 29877
10800..11099 1178 1562 1529 2354 2681 6749 23816 29169
11100..11399 1598 1549 1441 2356 2679 6723 30540 34646
11400..11699 1479 1549 1433 2353 2659 6692 28724 33023
11700..11999 1481 1462 1440 2355 2659 6712 28072 32152
