frames taa_mask taa_box taa_resolve taa scene dt_median_us
0..299 - - - - 20243 23625
300..599 1451 1298 2453 5448 22073 26087
600..899 1435 1297 2456 5441 24924 28768
900..1199 1434 1294 2448 5434 24959 29776
1200..1499 1437 1296 2531 5459 26510 31494
1500..1799 1431 1295 2449 5436 25093 30843
1800..2099 1513 1309 2450 5468 25340 31555
2100..2399 1653 1459 2837 6237 27747 32699
2400..2699 1627 1458 2753 6155 27238 32592
2700..2999 1792 1495 2875 6539 28768 33423
3000..3299 1697 1468 2810 6274 28215 33062
3300..3599 1636 1385 2703 6035 27821 32175
3600..3899 1637 1457 2704 6083 27554 32420
3900..4199 1818 1566 2933 6653 27525 34885
4200..4499 1641 1424 2711 6046 25507 30685
4500..4799 1609 1382 2603 5863 24667 32229
4800..5099 1631 1458 2723 6070 26284 31185
5100..5399 1667 1537 2808 6302 28540 32534
5400..5699 1572 1328 2591 5772 25002 30397
5700..5999 1784 1469 2917 6451 36852 44780
6000..6299 1703 1450 2920 6368 38124 44827
6300..6599 1596 1414 2793 6051 31987 39863
6600..6899 1638 1431 2696 6048 31669 39990
6900..7199 1602 1424 2806 6096 33873 39898
7200..7499 1574 1346 2696 5915 33919 39564
7500..7799 1684 1441 2834 6258 29636 35051
7800..8099 1717 1434 2834 6305 33480 38479
