absent near-centre frames 1925
1338 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1339 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1340 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1341 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1342 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1343 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1344 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1345 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1346 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1347 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1348 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1349 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1350 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1351 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1352 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1353 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1354 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1355 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1356 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1357 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1358 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1359 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1360 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1361 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1362 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1363 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1364 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1365 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1366 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1367 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1368 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1369 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1370 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1371 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1372 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1373 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1374 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1375 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1376 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1377 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1378 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1379 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1380 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1381 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1382 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1383 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1384 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1385 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1386 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1387 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1388 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1389 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1390 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1391 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1392 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1393 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1394 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1395 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1396 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1397 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1398 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1399 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1400 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1401 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1402 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1403 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1404 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1405 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1406 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1407 angle=22.7 r=0.480 p11=1.7778 esg_row=1
