present first..last n angle_min..max x_first,y_first -> x_last,y_last captured_frames
0 25221..25672 452 1.3..31.6 0.103,0.995 -> -0.259,0.445 0
1 25673..25726 54 29.9..29.9 -0.259,0.445 -> -0.259,0.445 0
0 25727..25866 140 29.9..29.9 -0.259,0.445 -> -0.259,0.445 0
1 25867..26373 507 12.6..30.1 -0.259,0.445 -> 0.251,0.442 0
0 26374..26890 517 3.7..33.4 0.251,0.442 -> -0.008,0.111 0
1 26891..27240 350 3.2..26.7 -0.008,0.110 -> 0.073,0.093 0
0 27241..27455 215 3.0..8.6 0.071,0.093 -> -0.000,0.093 0
1 27456..28574 1119 3.0..34.8 -0.000,0.093 -> -0.147,0.112 8
0 28575..29352 778 12.0..39.3 -0.147,0.112 -> -0.398,0.341 8
1 29353..29995 643 39.4..60.0 -0.399,0.342 -> -0.820,0.986 0
