2242 draws 109 clears/bullets ['C3', 'C2', 'B6', 'B75', 'C2', 'C2'] ZW=1 first 7 last 74 n 68
2243 draws 107 clears/bullets ['C3', 'C2', 'B6', 'B75', 'C2', 'C2'] ZW=1 first 7 last 74 n 68
2244 draws 107 clears/bullets ['C3', 'C2', 'B6', 'B75', 'C2', 'C2'] ZW=1 first 7 last 74 n 68
2245 draws 107 clears/bullets ['C3', 'C2', 'B6', 'B75', 'C2', 'C2'] ZW=1 first 7 last 74 n 68
2246 draws 107 clears/bullets ['C3', 'C2', 'B6', 'B75', 'C2', 'C2'] ZW=1 first 7 last 74 n 68
2247 draws 107 clears/bullets ['C3', 'C2', 'B6', 'B75', 'C2', 'C2'] ZW=1 first 7 last 74 n 68
2248 draws 107 clears/bullets ['C3', 'C2', 'B6', 'B75', 'C2', 'C2'] ZW=1 first 7 last 74 n 68
2249 draws 107 clears/bullets ['C3', 'C2', 'B6', 'B75', 'C2', 'C2'] ZW=1 first 7 last 74 n 68
6650 draws 248 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B213', 'B214', 'C2', 'C2'] ZW=1 first 8 last 212 n 205
6651 draws 252 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B213', 'B214', 'C2', 'C2'] ZW=1 first 8 last 212 n 205
6652 draws 252 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B213', 'B214', 'C2', 'C2'] ZW=1 first 8 last 212 n 205
6653 draws 251 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B213', 'B214', 'C2', 'C2'] ZW=1 first 8 last 212 n 205
6654 draws 252 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B213', 'B214', 'C2', 'C2'] ZW=1 first 8 last 212 n 205
6655 draws 249 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B213', 'B214', 'C2', 'C2'] ZW=1 first 8 last 212 n 205
6656 draws 251 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B213', 'B214', 'C2', 'C2'] ZW=1 first 8 last 212 n 205
6657 draws 252 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B213', 'B214', 'C2', 'C2'] ZW=1 first 8 last 212 n 205
7102 draws 216 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B186', 'B187', 'C2', 'C2'] ZW=1 first 8 last 185 n 178
7103 draws 225 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B186', 'B187', 'C2', 'C2'] ZW=1 first 8 last 185 n 178
7104 draws 220 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B187', 'B188', 'C2', 'C2'] ZW=1 first 8 last 186 n 179
7105 draws 218 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B187', 'B188', 'C2', 'C2'] ZW=1 first 8 last 186 n 179
7106 draws 220 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B187', 'B188', 'C2', 'C2'] ZW=1 first 8 last 186 n 179
7107 draws 218 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B187', 'B188', 'C2', 'C2'] ZW=1 first 8 last 186 n 179
7108 draws 218 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B187', 'B188', 'C2', 'C2'] ZW=1 first 8 last 186 n 179
7109 draws 218 clears/bullets ['C3', 'C2', 'B6', 'B7', 'B187', 'B188', 'C2', 'C2'] ZW=1 first 8 last 186 n 179
