partial passed=False status=PARTIAL cases=30
seam-ownership-shadow-replay-adaptive-big: map_equal=True has_map=True checks=333/333
seam-ownership-shadow-replay-adaptive-reuse: map_equal=True has_map=True checks=336/336
seam-ownership-shadow-replay-adaptive-small: map_equal=True has_map=True checks=333/333
seam-ownership-shadow-replay-adaptive-swap: map_equal=True has_map=True checks=336/336
seam-ownership-shadow-replay-cascades: map_equal=True has_map=True checks=278/278
seam-ownership-shadow-replay-cascades-alpha-on: map_equal=True has_map=True checks=283/278 (vs seam-ownership-shadow-replay-cascades)
seam-ownership-shadow-replay-cascades-casters-20: map_equal=True has_map=True checks=278/278
seam-ownership-shadow-replay-cascades-poll-agree: map_equal=True has_map=True checks=281/281
seam-ownership-shadow-replay-cascades-poll-disagree: map_equal=True has_map=True checks=281/281
seam-ownership-shadow-replay-cascades-poll-null: map_equal=True has_map=True checks=281/281
seam-ownership-shadow-replay-cascades-poll-refusals: map_equal=True has_map=True checks=281/281
seam-ownership-shadow-replay-cascades-toggle: map_equal=True has_map=True checks=283/283
seam-ownership-shadow-replay-casters-2: map_equal=True has_map=True checks=203/203
seam-ownership-shadow-replay-casters-20: map_equal=True has_map=True checks=203/203
seam-ownership-shadow-replay-casters-8: map_equal=True has_map=True checks=203/203
seam-ownership-shadow-replay-far-refused: map_equal=True has_map=True checks=203/203
seam-ownership-shadow-replay-ladder-corvette: map_equal=True has_map=True checks=373/373
seam-ownership-shadow-replay-ladder-corvette-static: map_equal=True has_map=True checks=373/373
seam-ownership-shadow-replay-ladder-destroyer: map_equal=True has_map=True checks=373/373
seam-ownership-shadow-replay-ladder-shrink: map_equal=True has_map=True checks=376/376
seam-ownership-shadow-replay-off: map_equal=True has_map=False checks=99/99
seam-ownership-shadow-replay-on: map_equal=True has_map=True checks=203/203
seam-ownership-shadow-replay-sun-programs: map_equal=True has_map=True checks=205/205
seam-ownership-shadow-replay-toggle-single: map_equal=True has_map=True checks=214/214
seam-ownership-shadow-replay-wide: map_equal=True has_map=True checks=203/203
seam-ownership-taa-shadow-replay-off: map_equal=True has_map=False checks=122/122
seam-ownership-taa-shadow-replay-on: map_equal=True has_map=True checks=226/226
identical=27 differing=0
